test,N,n_jobs,dim,repeat,number,min,max,mean,lower,upper,count,median,error_c
joblib,10000,2,20,3,1,10.537407408002764,12.013404207769781,11.236501767222459,10.537407408002764,12.013404207769781,3,11.158693685894832,0
memory,10000,2,20,3,1,9.958210873883218,11.771539808949456,10.830907868919894,9.958210873883218,11.771539808949456,3,10.762972923927009,0
no,10000,2,20,3,1,14.445711200125515,15.043508474947885,14.676397536337996,14.445711200125515,15.043508474947885,3,14.53997293394059,0
joblib,10000,3,20,3,1,10.342793015064672,11.896947601111606,11.209571613386894,10.342793015064672,11.896947601111606,3,11.388974223984405,0
memory,10000,3,20,3,1,10.241150250891224,11.631071123061702,10.822421366659304,10.241150250891224,11.631071123061702,3,10.595042726024985,0
no,10000,3,20,3,1,14.501065461197868,14.865340978838503,14.691242126359915,14.501065461197868,14.865340978838503,3,14.707319939043373,0
joblib,20000,1,20,3,1,21.5822067160625,30.197734388057142,26.045166545314714,21.5822067160625,30.197734388057142,3,26.3555585318245,0
memory,20000,1,20,3,1,27.357176824938506,28.33932293392718,27.889365255289402,27.357176824938506,28.33932293392718,3,27.971596007002518,0
no,20000,1,20,3,1,27.08356566191651,33.20233396906406,29.46090017228077,27.08356566191651,33.20233396906406,3,28.09680088586174,0
joblib,20000,2,20,3,1,23.526852536015213,28.231426485115662,25.561331716676552,23.526852536015213,28.231426485115662,3,24.925716128898785,0
memory,20000,2,20,3,1,24.878638949943706,26.61150733800605,25.63702072164354,24.878638949943706,26.61150733800605,3,25.42091587698087,0
no,20000,2,20,3,1,27.781767718028277,37.456072491128,32.33474298302705,27.781767718028277,37.456072491128,3,31.766388739924878,0
joblib,20000,3,20,3,1,21.1356888609007,28.88472988898866,24.760030737301957,21.1356888609007,28.88472988898866,3,24.259673462016508,0
memory,20000,3,20,3,1,27.181192453950644,28.820554414996877,28.017087605937075,27.181192453950644,28.820554414996877,3,28.0495159488637,0
no,20000,3,20,3,1,30.742133568041027,42.824380930978805,36.64102820997747,30.742133568041027,42.824380930978805,3,36.35657013091259,0
