lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_ort,upper_diff_ort,lower_diff_ort,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_classes_.shape,fit_n_classes_,fit_estimators_.size,fit_estimators_.n_classes_,fit_estimators_.max|tree_.max_depth,fit_estimators_.classes_.shape,fit_estimators_.n_features_,fit_estimators_.sum|tree_.node_count,fit_estimators_.sum|tree_.leave_count,fit_class_count_.shape,fit_feature_count_.shape,fit_feature_log_prob_.shape,fit_class_log_prior_.shape,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_.sum|.sum|tree_.leave_count,fit_estimators_..n_classes_,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_..n_features_,fit_estimators_.sum|.sum|tree_.node_count,fit_objective,fit_n_classes,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_intercept_.shape,fit_n_iter_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
pyrt,5,breast_cancer,-1,ADA-ZM,False,5,1,0.005314884707331657,0.0054468270391225815,0.005347405560314655,0.005314884707331657,0.005445360827851849,5,0.005325403995811939,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,5,breast_cancer,-1,ADA-ZM,False,5,1,0.003145960159599781,0.0032401718199253082,0.00317008588463068,0.003145960159599781,0.0032392653971916835,5,0.0031528687104582787,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,5.172550392451569e-08,6.501189164787036e-08,3.6828112670583835e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,10,breast_cancer,-1,ADA-ZM,False,5,1,0.00045210402458906174,0.0015442287549376488,0.0006749579682946205,0.00045210402458906174,0.0015269059261102205,5,0.00045682862401008606,6.074852492155003e-08,7.299129423099515e-08,5.3370475705527554e-08,6.105770073983053e-08,7.279904568058271e-08,5.1818127899672106e-08,6.105770073983053e-08,7.279904568058271e-08,5.1818127899672106e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,10,breast_cancer,-1,ADA-ZM,False,5,1,0.006500262767076492,0.006707319989800453,0.006566812656819821,0.006500262767076492,0.006707319989800453,5,0.006541724316775799,6.074852492155003e-08,7.299129423099515e-08,5.3370475705527554e-08,6.105770073983053e-08,7.279904568058271e-08,5.1818127899672106e-08,6.105770073983053e-08,7.279904568058271e-08,5.1818127899672106e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,10,breast_cancer,-1,ADA-ZM,False,5,1,0.0053358133882284164,0.005426979623734951,0.005358633771538735,0.0053358133882284164,0.005425951749144552,5,0.005342467688024044,6.074852492155003e-08,7.299129423099515e-08,5.3370475705527554e-08,6.105770073983053e-08,7.279904568058271e-08,5.1818127899672106e-08,6.105770073983053e-08,7.279904568058271e-08,5.1818127899672106e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,10,breast_cancer,-1,ADA-ZM,False,5,1,0.0031571704894304276,0.003262280486524105,0.0031887998804450033,0.0031571704894304276,0.003262280486524105,5,0.0031724972650408745,6.074852492155003e-08,7.299129423099515e-08,5.3370475705527554e-08,6.105770073983053e-08,7.279904568058271e-08,5.1818127899672106e-08,6.105770073983053e-08,7.279904568058271e-08,5.1818127899672106e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,20,breast_cancer,-1,ADA-ZM,False,5,1,0.0005168914794921875,0.0015994757413864136,0.0007374729961156845,0.0005168914794921875,0.0015822978902743493,5,0.0005210591480135918,6.684300762893614e-08,7.936016876985974e-08,5.846708012180457e-08,7.047093120160497e-08,7.677015489981898e-08,6.382661810189205e-08,7.047093120160497e-08,7.677015489981898e-08,6.382661810189205e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,20,breast_cancer,-1,ADA-ZM,False,5,1,0.006559152156114578,0.0067571308463811874,0.006614484637975693,0.006559152156114578,0.006756995821255405,5,0.0065816063433885574,6.684300762893614e-08,7.936016876985974e-08,5.846708012180457e-08,7.047093120160497e-08,7.677015489981898e-08,6.382661810189205e-08,7.047093120160497e-08,7.677015489981898e-08,6.382661810189205e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,20,breast_cancer,-1,ADA-ZM,False,5,1,0.005407277494668961,0.005494999699294567,0.005429717898368836,0.005407277494668961,0.005494075766399886,5,0.0054161520674824715,6.684300762893614e-08,7.936016876985974e-08,5.846708012180457e-08,7.047093120160497e-08,7.677015489981898e-08,6.382661810189205e-08,7.047093120160497e-08,7.677015489981898e-08,6.382661810189205e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,20,breast_cancer,-1,ADA-ZM,False,5,1,0.0032280609011650085,0.0033354246988892555,0.003258747234940529,0.0032280609011650085,0.0033354246988892555,5,0.0032340772449970245,6.684300762893614e-08,7.936016876985974e-08,5.846708012180457e-08,7.047093120160497e-08,7.677015489981898e-08,6.382661810189205e-08,7.047093120160497e-08,7.677015489981898e-08,6.382661810189205e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,50,breast_cancer,-1,ADA-ZM,False,5,1,0.0007038647308945656,0.0018000025302171707,0.000932701863348484,0.0007038647308945656,0.0017828781654572127,5,0.0007153013721108437,7.689342775840658e-08,7.936016876985974e-08,7.220649145267544e-08,8.32857977250967e-08,9.534109368658505e-08,7.220649145267544e-08,8.32857977250967e-08,9.534109368658505e-08,7.220649145267544e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,50,breast_cancer,-1,ADA-ZM,False,5,1,0.006670174188911915,0.006891652941703796,0.006725583970546722,0.006670174188911915,0.006889619829325381,5,0.006689738482236862,7.689342775840658e-08,7.936016876985974e-08,7.220649145267544e-08,8.32857977250967e-08,9.534109368658505e-08,7.220649145267544e-08,8.32857977250967e-08,9.534109368658505e-08,7.220649145267544e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,50,breast_cancer,-1,ADA-ZM,False,5,1,0.005497491918504238,0.005654738284647465,0.005535396374762058,0.005497491918504238,0.005652643924740984,5,0.005507840774953365,7.689342775840658e-08,7.936016876985974e-08,7.220649145267544e-08,8.32857977250967e-08,9.534109368658505e-08,7.220649145267544e-08,8.32857977250967e-08,9.534109368658505e-08,7.220649145267544e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,50,breast_cancer,-1,ADA-ZM,False,5,1,0.0033288532868027687,0.0034806914627552032,0.0033673301339149477,0.0033288532868027687,0.0034791489889445058,5,0.0033424245193600655,7.689342775840658e-08,7.936016876985974e-08,7.220649145267544e-08,8.32857977250967e-08,9.534109368658505e-08,7.220649145267544e-08,8.32857977250967e-08,9.534109368658505e-08,7.220649145267544e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,100,breast_cancer,-1,ADA-ZM,False,5,1,0.0009922189638018608,0.0020768269896507263,0.0012161632999777793,0.0009922189638018608,0.0020596735156062796,5,0.0010057296603918076,7.665565839864997e-08,7.936016876985974e-08,7.220649145267544e-08,8.2450733018824e-08,9.534109368658505e-08,7.220649145267544e-08,8.2450733018824e-08,9.534109368658505e-08,7.220649145267544e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,100,breast_cancer,-1,ADA-ZM,False,5,1,0.007057011127471924,0.007277551107108593,0.007116512022912502,0.007057011127471924,0.007277551107108593,5,0.007094521075487137,7.665565839864997e-08,7.936016876985974e-08,7.220649145267544e-08,8.2450733018824e-08,9.534109368658505e-08,7.220649145267544e-08,8.2450733018824e-08,9.534109368658505e-08,7.220649145267544e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,100,breast_cancer,-1,ADA-ZM,False,5,1,0.005652063526213169,0.005866491235792637,0.005703929625451565,0.005652063526213169,0.0058636530665004405,5,0.005667376331984997,7.665565839864997e-08,7.936016876985974e-08,7.220649145267544e-08,8.2450733018824e-08,9.534109368658505e-08,7.220649145267544e-08,8.2450733018824e-08,9.534109368658505e-08,7.220649145267544e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,100,breast_cancer,-1,ADA-ZM,False,5,1,0.0034741023555397987,0.0037021422758698463,0.003530513308942318,0.0034741023555397987,0.00370125639172253,5,0.003482758067548275,7.665565839864997e-08,7.936016876985974e-08,7.220649145267544e-08,8.2450733018824e-08,9.534109368658505e-08,7.220649145267544e-08,8.2450733018824e-08,9.534109368658505e-08,7.220649145267544e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,200,breast_cancer,-1,ADA-ZM,False,5,1,0.0015898942947387695,0.002631363458931446,0.0018025128170847892,0.0015898942947387695,0.0026148389664916666,5,0.0015967078506946564,7.832416322184344e-08,7.936016876985974e-08,7.677015489981898e-08,9.083268408538458e-08,9.534109368658505e-08,7.279904568058271e-08,9.083268408538458e-08,9.534109368658505e-08,7.279904568058271e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,200,breast_cancer,-1,ADA-ZM,False,5,1,0.00753135047852993,0.007742017507553101,0.007591646537184716,0.00753135047852993,0.007742017507553101,5,0.007571399211883545,7.832416322184344e-08,7.936016876985974e-08,7.677015489981898e-08,9.083268408538458e-08,9.534109368658505e-08,7.279904568058271e-08,9.083268408538458e-08,9.534109368658505e-08,7.279904568058271e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,200,breast_cancer,-1,ADA-ZM,False,5,1,0.006008484400808811,0.006287110038101673,0.006074224971234799,0.006008484400808811,0.00628361418513558,5,0.006023682653903961,7.832416322184344e-08,7.936016876985974e-08,7.677015489981898e-08,9.083268408538458e-08,9.534109368658505e-08,7.279904568058271e-08,9.083268408538458e-08,9.534109368658505e-08,7.279904568058271e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,200,breast_cancer,-1,ADA-ZM,False,5,1,0.003869416192173958,0.0041341157630085945,0.00392906554043293,0.003869416192173958,0.004130288771740131,5,0.003878079354763031,7.832416322184344e-08,7.936016876985974e-08,7.677015489981898e-08,9.083268408538458e-08,9.534109368658505e-08,7.279904568058271e-08,9.083268408538458e-08,9.534109368658505e-08,7.279904568058271e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,500,breast_cancer,-1,ADA-ZM,False,5,1,0.0033564679324626923,0.004399346187710762,0.003575262054800987,0.0033564679324626923,0.0043831141861294266,5,0.003373723477125168,7.936016876985974e-08,7.936016876985974e-08,7.936016876985974e-08,9.534109368658505e-08,9.534109368658505e-08,9.534109368658505e-08,9.534109368658505e-08,9.534109368658505e-08,9.534109368658505e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,500,breast_cancer,-1,ADA-ZM,False,5,1,0.008893672376871109,0.0091159762814641,0.008954499289393425,0.008893672376871109,0.009114998207106465,5,0.008920774795114994,7.936016876985974e-08,7.936016876985974e-08,7.936016876985974e-08,9.534109368658505e-08,9.534109368658505e-08,9.534109368658505e-08,9.534109368658505e-08,9.534109368658505e-08,9.534109368658505e-08,50.0,50.0,2.0,2.0,50.0,2.0,1.0,2.0,30.0,150.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
