name,version,value
date,2020-10-02,
python,,"3.7.2 (default, Mar  1 2019, 18:34:21) 
[GCC 6.3.0 20170516]"
platform,,linux
OS,,Linux-4.9.0-8-amd64-x86_64-with-debian-9.6
machine,,x86_64
processor,,
release,,4.9.0-8-amd64
architecture,,"('64bit', '')"
mlprodict,0.4.1308,
numpy,1.18.5,"openblas, language=c"
onnx,1.7.1078,opset=12
onnxruntime,1.5.991,CPU-MKL-ML
pandas,1.1.2,
skl2onnx,1.7.1082,
sklearn,0.23.2,
