method,lib,skl_nb_base_estimators,N,dim,fit_intercept,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict,skl,1.0,1,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,5.3383875638246536e-05,0.00018715299665927887,5.439436063170433e-05,6.499886512756348e-05,5.667566321790218e-05,5.3383875638246536e-05,8.267943608194102e-05,100,5.4947566241025925e-05,0,,,,
predict,onxpython_compiled,,1,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.6353711038827896e-05,7.981574162840843e-05,3.649294376373291e-05,4.166318103671074e-05,3.7601515650749206e-05,3.6353711038827896e-05,4.618275233541806e-05,100,3.691832534968853e-05,0,2.0,12.0,459.0,
predict,onxonnxruntime1,,1,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.353498712182045e-05,8.840998634696007e-05,2.3589935153722763e-05,2.6436056941747665e-05,2.4711168371140958e-05,2.353498712182045e-05,3.7338831683105096e-05,100,2.3933593183755875e-05,0,2.0,12.0,459.0,
predict_proba,skl,1.0,1,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,7.461896166205406e-05,0.000112112145870924,7.470091804862022e-05,8.172960951924324e-05,7.586437743157149e-05,7.461896166205406e-05,8.364514219281421e-05,100,7.506436668336391e-05,0,,,,
predict_proba,onxpython_compiled,,1,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.632018342614174e-05,5.10350801050663e-05,3.647897392511368e-05,4.2318832129240036e-05,3.708318807184696e-05,3.632018342614174e-05,4.042886563251122e-05,100,3.672461025416851e-05,0,2.0,12.0,459.0,
predict_proba,onxonnxruntime1,,1,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.225395292043686e-05,3.747083246707916e-05,2.2268854081630707e-05,3.09990718960762e-05,2.302075270563364e-05,2.225395292043686e-05,2.7031696250765378e-05,100,2.2544758394360542e-05,0,2.0,12.0,459.0,
predict,py,,1,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,1.0203104466199875e-05,1.9493047147989273e-05,1.0277610272169113e-05,1.13598071038723e-05,1.0585724376142024e-05,1.0203104466199875e-05,1.2373601156816355e-05,100,1.0482734069228172e-05,0,,,,
predict_proba,py,,1,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.460468724370003e-05,5.762279033660889e-05,3.468245267868042e-05,4.405900835990906e-05,3.550156950950622e-05,3.460468724370003e-05,4.070511986517219e-05,100,3.495276905596256e-05,0,,,,
predict,skl,1.0,10,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,5.090795457363129e-05,6.907759234309196e-05,5.118129774928093e-05,5.8117788285017014e-05,5.204514134675264e-05,5.090795457363129e-05,5.626992062350889e-05,100,5.150819197297096e-05,0,,,,
predict,onxpython_compiled,,10,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.8790982216596603e-05,8.03978182375431e-05,3.904290497303009e-05,4.8072077333927155e-05,4.026664886623621e-05,3.8790982216596603e-05,4.890556896115393e-05,100,3.9390986785292625e-05,0,2.0,12.0,459.0,
predict,onxonnxruntime1,,10,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.361321821808815e-05,4.037376493215561e-05,2.3692846298217773e-05,2.626189962029457e-05,2.4253576993942262e-05,2.361321821808815e-05,2.7649354777688658e-05,100,2.397852949798107e-05,0,2.0,12.0,459.0,
predict_proba,skl,1.0,10,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,7.222592830657959e-05,9.215390309691429e-05,7.234979420900345e-05,7.963879033923149e-05,7.347089704126119e-05,7.222592830657959e-05,7.83359712679462e-05,100,7.285503670573235e-05,0,,,,
predict_proba,onxpython_compiled,,10,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.8655009120702744e-05,5.300994962453842e-05,3.8736965507268906e-05,4.350580275058746e-05,3.949351143091917e-05,3.8655009120702744e-05,4.288307932926618e-05,100,3.906292840838432e-05,0,2.0,12.0,459.0,
predict_proba,onxonnxruntime1,,10,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.302182838320732e-05,5.5131036788225174e-05,2.3080967366695404e-05,3.692600876092911e-05,2.4174763821065427e-05,2.302182838320732e-05,3.2123792455537575e-05,100,2.3294007405638695e-05,0,2.0,12.0,459.0,
predict,py,,10,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,1.016492024064064e-05,1.8756836652755737e-05,1.024315133690834e-05,1.1249911040067673e-05,1.0573789477348328e-05,1.016492024064064e-05,1.22274787562464e-05,100,1.0465504601597786e-05,0,,,,
predict_proba,py,,10,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.4939032047986984e-05,4.791188985109329e-05,3.496278077363968e-05,3.8289930671453476e-05,3.550238441675901e-05,3.4939032047986984e-05,3.835631737644143e-05,100,3.5231467336416245e-05,0,,,,
predict,skl,1.0,100,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,5.168188363313675e-05,6.869994103908539e-05,5.179503932595253e-05,5.8321282267570496e-05,5.254708230495453e-05,5.168188363313675e-05,5.642769799911949e-05,100,5.211867392063141e-05,0,,,,
predict,onxpython_compiled,,100,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,4.4185202568769455e-05,6.000371649861336e-05,4.4235959649086e-05,5.1034148782491684e-05,4.5051118358969685e-05,4.4185202568769455e-05,4.8677062091057165e-05,100,4.464946687221527e-05,0,2.0,12.0,459.0,
predict,onxonnxruntime1,,100,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.9286835342645645e-05,4.5277178287506104e-05,2.9393937438726425e-05,3.48859466612339e-05,3.0084610916674137e-05,2.9286835342645645e-05,3.3500433942271176e-05,100,2.9755523428320885e-05,0,2.0,12.0,459.0,
predict_proba,skl,1.0,100,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,7.438985630869865e-05,9.305309504270554e-05,7.446995005011559e-05,8.223019540309906e-05,7.559415884315968e-05,7.438985630869865e-05,8.04138831461288e-05,100,7.495447061955929e-05,0,,,,
predict_proba,onxpython_compiled,,100,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,4.371628165245056e-05,5.8616045862436295e-05,4.376191645860672e-05,4.986906424164772e-05,4.451153334230184e-05,4.371628165245056e-05,4.8045534212959735e-05,100,4.4068554416298866e-05,0,2.0,12.0,459.0,
predict_proba,onxonnxruntime1,,100,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.8552953153848648e-05,4.6687666326761246e-05,2.8714071959257126e-05,3.578374162316322e-05,2.9442375525832175e-05,2.8552953153848648e-05,3.396865651381385e-05,100,2.898392267525196e-05,0,2.0,12.0,459.0,
predict,py,,100,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,1.0390300303697586e-05,2.0141713321208954e-05,1.0431744158267975e-05,1.137005165219307e-05,1.0833390988409519e-05,1.0390300303697586e-05,1.2717855158007406e-05,100,1.0707182809710503e-05,0,,,,
predict_proba,py,,100,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.7907157093286514e-05,6.242003291845322e-05,3.7987250834703445e-05,4.1513703763484955e-05,3.871356137096882e-05,3.7907157093286514e-05,4.385794391266153e-05,100,3.831367939710617e-05,0,,,,
predict,skl,1.0,1000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,6.128614768385887e-05,9.269127622246742e-05,6.131501868367195e-05,6.705475971102715e-05,6.228422746062278e-05,6.128614768385887e-05,6.87809397627875e-05,100,6.169197149574757e-05,0,,,,
predict,onxpython_compiled,,1000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,9.858189150691032e-05,0.00011680787429213524,9.870016947388649e-05,0.00010793423280119896,0.00010003342293202878,9.858189150691032e-05,0.0001052630475272884,100,9.941053576767445e-05,0,2.0,12.0,459.0,
predict,onxonnxruntime1,,1000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,8.379481732845306e-05,0.00011006975546479225,8.38330015540123e-05,9.0728048235178e-05,8.511957712471485e-05,8.379481732845306e-05,9.046404792562357e-05,100,8.471682667732239e-05,0,2.0,12.0,459.0,
predict_proba,skl,1.0,1000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,9.244587272405624e-05,0.00011429795995354652,9.258231148123741e-05,0.00010138889774680138,9.382066782563925e-05,9.244587272405624e-05,9.924486276874378e-05,100,9.30028036236763e-05,0,,,,
predict_proba,onxpython_compiled,,1000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,9.736232459545135e-05,0.00011395709589123726,9.786570444703102e-05,0.00010480312630534172,9.874938987195492e-05,9.736232459545135e-05,0.00010264962274531705,100,9.833858348429203e-05,0,2.0,12.0,459.0,
predict_proba,onxonnxruntime1,,1000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,8.230283856391907e-05,0.00010003289207816124,8.245278149843216e-05,9.26600769162178e-05,8.390193805098534e-05,8.230283856391907e-05,8.869897504908361e-05,100,8.333008736371994e-05,0,2.0,12.0,459.0,
predict,py,,1000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,1.3434328138828278e-05,2.5907065719366074e-05,1.3512559235095978e-05,1.5854835510253906e-05,1.4028078876435757e-05,1.3434328138828278e-05,1.6639914016002717e-05,100,1.3810116797685623e-05,0,,,,
predict_proba,py,,1000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,6.208708509802818e-05,8.122529834508896e-05,6.219325587153435e-05,6.469618529081345e-05,6.304890383034944e-05,6.208708509802818e-05,6.695939646984921e-05,100,6.269081495702267e-05,0,,,,
predict,skl,1.0,10000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,0.00012864405289292336,0.00021917279809713364,0.0001291041262447834,0.00017873477190732956,0.0001356527814641595,0.00012864405289292336,0.0001580011782475263,100,0.00013424642384052277,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(34  'predict')'.
predict,onxpython_compiled,,10000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,0.0006035040132701397,0.0006786719895899296,0.000605827197432518,0.0006354758515954018,0.000614402866922319,0.0006035040132701397,0.000633329981303773,100,0.0006119678728282452,1,2.0,12.0,459.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(34  'predict')'.
predict,onxonnxruntime1,,10000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,0.0006120428442955017,0.0006832410581409931,0.0006145820952951908,0.0006326911970973015,0.0006202642992138862,0.0006120428442955017,0.0006354075711776662,100,0.0006184759549796581,1,2.0,12.0,459.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(34  'predict')'.
predict_proba,skl,1.0,10000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,0.00025428831577301025,0.0003350242041051388,0.0002549351193010807,0.000266325194388628,0.00025784967001527546,0.00025428831577301025,0.0002746782534131159,100,0.00025618914514780045,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(34  'predict')'.
predict_proba,onxpython_compiled,,10000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,0.0006004353053867817,0.0006582587957382202,0.00060244370251894,0.0006309729069471359,0.0006095385923981666,0.0006004353053867817,0.0006252114708298093,100,0.0006071969401091337,1,2.0,12.0,459.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(34  'predict')'.
predict_proba,onxonnxruntime1,,10000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,0.0006072209216654301,0.0006639957427978516,0.0006090081296861172,0.0006336099468171597,0.0006138004455715418,0.0006072209216654301,0.0006270890254245537,100,0.0006123394705355167,1,2.0,12.0,459.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(34  'predict')'.
predict,py,,10000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.49520705640316e-05,5.2900053560733795e-05,3.5087112337350845e-05,3.8782134652137756e-05,3.663087729364634e-05,3.49520705640316e-05,4.028211486212476e-05,100,3.638048656284809e-05,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(34  'predict')'.
predict_proba,py,,10000,1,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,0.000293780118227005,0.00032582227140665054,0.0002944371663033962,0.00030467379838228226,0.00029617225285619495,0.000293780118227005,0.00030305046979621443,100,0.0002954169176518917,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(34  'predict')'.
predict,skl,1.0,1,5,True,,100,1,5.4175034165382385e-05,9.947922080755234e-05,5.444604903459549e-05,6.180582568049431e-05,5.5810417979955676e-05,5.4175034165382385e-05,6.486912739002844e-05,100,5.5050477385520935e-05,0,,,,
predict,onxpython_compiled,,1,5,True,,100,1,4.294188693165779e-05,7.703108713030815e-05,4.3050386011600494e-05,5.1478855311870575e-05,4.4130301102995875e-05,4.294188693165779e-05,5.123580836909387e-05,100,4.3377047404646873e-05,0,4.0,12.0,663.0,
predict,onxonnxruntime1,,1,5,True,,100,1,2.765003591775894e-05,7.839594036340714e-05,2.7731060981750488e-05,3.494881093502045e-05,2.881437074393034e-05,2.765003591775894e-05,3.892515177403866e-05,100,2.809753641486168e-05,0,4.0,12.0,663.0,
predict_proba,skl,1.0,1,5,True,,100,1,7.723597809672356e-05,0.00010453397408127785,7.73109495639801e-05,8.71419906616211e-05,7.871592417359352e-05,7.723597809672356e-05,8.511292879631295e-05,100,7.784087210893631e-05,0,,,,
predict_proba,onxpython_compiled,,1,5,True,,100,1,4.228111356496811e-05,5.771918222308159e-05,4.233885556459427e-05,4.9759168177843094e-05,4.312404431402683e-05,4.228111356496811e-05,4.68852699106933e-05,100,4.269462078809738e-05,0,4.0,12.0,663.0,
predict_proba,onxonnxruntime1,,1,5,True,,100,1,2.604397013783455e-05,4.1872262954711914e-05,2.6176217943429947e-05,3.1006988137960434e-05,2.6800893247127534e-05,2.604397013783455e-05,3.0227653421411356e-05,100,2.646772190928459e-05,0,4.0,12.0,663.0,
predict,py,,1,5,True,,100,1,1.0947231203317642e-05,1.9927043467760086e-05,1.0979361832141876e-05,1.1912081390619278e-05,1.136902254074812e-05,1.0947231203317642e-05,1.3114142624384046e-05,100,1.125875860452652e-05,0,,,,
predict_proba,py,,1,5,True,,100,1,3.660563379526138e-05,5.798088386654854e-05,3.67150641977787e-05,4.02769073843956e-05,3.740741405636072e-05,3.660563379526138e-05,4.179819665321213e-05,100,3.703683614730835e-05,0,,,,
predict,skl,1.0,10,5,True,,100,1,5.1437877118587494e-05,7.009413093328476e-05,5.161389708518982e-05,5.838414654135704e-05,5.2432361990213394e-05,5.1437877118587494e-05,5.6546185109180964e-05,100,5.203206092119217e-05,0,,,,
predict,onxpython_compiled,,10,5,True,,100,1,4.343222826719284e-05,6.423471495509148e-05,4.351697862148285e-05,5.099829286336899e-05,4.44684736430645e-05,4.343222826719284e-05,4.900035940192637e-05,100,4.400755278766155e-05,0,4.0,12.0,663.0,
predict,onxonnxruntime1,,10,5,True,,100,1,2.9442831873893738e-05,4.8697926104068756e-05,2.9565300792455673e-05,3.5540200769901276e-05,3.0207191593945025e-05,2.9442831873893738e-05,3.430932335882573e-05,100,2.9832124710083008e-05,0,4.0,12.0,663.0,
predict_proba,skl,1.0,10,5,True,,100,1,7.266132161021233e-05,9.065773338079453e-05,7.273303344845772e-05,7.994798943400383e-05,7.382792420685292e-05,7.266132161021233e-05,7.837901861609328e-05,100,7.323897443711758e-05,0,,,,
predict_proba,onxpython_compiled,,10,5,True,,100,1,4.307599738240242e-05,5.849497392773628e-05,4.3173786252737045e-05,4.856707528233528e-05,4.403210710734129e-05,4.307599738240242e-05,4.759966356899424e-05,100,4.353746771812439e-05,0,4.0,12.0,663.0,
predict_proba,onxonnxruntime1,,10,5,True,,100,1,2.8016045689582825e-05,7.240986451506615e-05,2.816319465637207e-05,3.4837983548641205e-05,2.9480294324457644e-05,2.8016045689582825e-05,3.8576660499800325e-05,100,2.8686365112662315e-05,0,4.0,12.0,663.0,
predict,py,,10,5,True,,100,1,1.0542105883359909e-05,1.86162069439888e-05,1.0598916560411453e-05,1.133279874920845e-05,1.0950779542326927e-05,1.0542105883359909e-05,1.2532750536799873e-05,100,1.0819407179951668e-05,0,,,,
predict_proba,py,,10,5,True,,100,1,3.533996641635895e-05,4.638591781258583e-05,3.538886085152626e-05,3.848504275083542e-05,3.589437808841467e-05,3.533996641635895e-05,3.843292314735744e-05,100,3.563775680959225e-05,0,,,,
predict,skl,1.0,100,5,True,,100,1,5.2795279771089554e-05,0.00010479381307959557,5.28399832546711e-05,7.262872532010078e-05,5.596407689154148e-05,5.2795279771089554e-05,7.01697264948316e-05,100,5.3317518904805183e-05,0,,,,
predict,onxpython_compiled,,100,5,True,,100,1,5.005812272429466e-05,8.760998025536537e-05,5.0185248255729675e-05,7.366063073277473e-05,5.3519769571721555e-05,5.005812272429466e-05,6.669685813890885e-05,100,5.068443715572357e-05,0,4.0,12.0,663.0,
predict,onxonnxruntime1,,100,5,True,,100,1,6.285635754466057e-05,0.00012562889605760574,6.433017551898956e-05,9.966176003217697e-05,7.084093056619167e-05,6.285635754466057e-05,9.140833676149518e-05,100,6.632297299802303e-05,0,4.0,12.0,663.0,
predict_proba,skl,1.0,100,5,True,,100,1,7.516099140048027e-05,0.00013357168063521385,7.533514872193336e-05,0.00010469602420926094,8.154524490237235e-05,7.516099140048027e-05,0.00010057692811877641,100,7.648649625480175e-05,0,,,,
predict_proba,onxpython_compiled,,100,5,True,,100,1,4.9394555389881134e-05,7.253093644976616e-05,4.956219345331192e-05,7.163779810070992e-05,5.368199199438095e-05,4.9394555389881134e-05,6.626850264968644e-05,100,5.02290204167366e-05,0,4.0,12.0,663.0,
predict_proba,onxonnxruntime1,,100,5,True,,100,1,6.207916885614395e-05,0.0008085481822490692,6.332620978355408e-05,9.374599903821945e-05,7.792066782712936e-05,6.207916885614395e-05,0.00022265948989244654,100,6.609898991882801e-05,0,4.0,12.0,663.0,
predict,py,,100,5,True,,100,1,1.1117197573184967e-05,2.78339721262455e-05,1.1185184121131897e-05,2.6891939342021942e-05,1.2479121796786785e-05,1.1117197573184967e-05,1.9487231011600377e-05,100,1.1435942724347115e-05,0,,,,
predict_proba,py,,100,5,True,,100,1,3.871787339448929e-05,6.402796134352684e-05,3.8825906813144684e-05,5.470169708132744e-05,4.002360627055168e-05,3.871787339448929e-05,4.748717615706169e-05,100,3.919703885912895e-05,0,,,,
predict,skl,1.0,1000,5,True,,100,1,6.173085421323776e-05,0.00014618085697293282,6.196880713105202e-05,7.633911445736885e-05,6.433734204620124e-05,6.173085421323776e-05,8.133275840976155e-05,100,6.281165406107903e-05,0,,,,
predict,onxpython_compiled,,1000,5,True,,100,1,0.0001107882708311081,0.00015440024435520172,0.00011093076318502426,0.0001353500410914421,0.00011375464498996734,0.0001107882708311081,0.00012640281113610703,100,0.000111820874735713,0,4.0,12.0,663.0,
predict,onxonnxruntime1,,1000,5,True,,100,1,0.0003921450115740299,0.0005281241610646248,0.0003929869271814823,0.0004318440333008766,0.0004009741172194481,0.0003921450115740299,0.0004314903178175262,100,0.00039572338573634624,0,4.0,12.0,663.0,
predict_proba,skl,1.0,1000,5,True,,100,1,9.219720959663391e-05,0.00014878995716571808,9.24789346754551e-05,0.00010741082951426506,9.49898548424244e-05,9.219720959663391e-05,0.00010700602841398888,100,9.368662722408772e-05,0,,,,
predict_proba,onxpython_compiled,,1000,5,True,,100,1,0.00010942015796899796,0.0001472141593694687,0.00010986486449837685,0.00012838887050747871,0.00011216131504625082,0.00010942015796899796,0.00012203409356642546,100,0.00011087278835475445,0,4.0,12.0,663.0,
predict_proba,onxonnxruntime1,,1000,5,True,,100,1,0.0003375876694917679,0.00045175570994615555,0.00035584764555096626,0.00042985333129763603,0.00037094069644808767,0.0003375876694917679,0.0004127022149098485,100,0.0003616395406424999,0,4.0,12.0,663.0,
predict,py,,1000,5,True,,100,1,1.838989555835724e-05,3.7779100239276886e-05,1.8686987459659576e-05,2.1270010620355606e-05,1.9657956436276436e-05,1.838989555835724e-05,2.3393398678774162e-05,100,1.945742405951023e-05,0,,,,
predict_proba,py,,1000,5,True,,100,1,6.585195660591125e-05,9.387265890836716e-05,6.63180835545063e-05,8.061015978455544e-05,6.802452728152275e-05,6.585195660591125e-05,7.47235859706013e-05,100,6.731203757226467e-05,0,,,,
predict,skl,1.0,10000,5,True,,100,1,0.00011367397382855415,0.0003036670386791229,0.00011503184214234352,0.00014269165694713593,0.00012459320481866598,0.00011367397382855415,0.00016187894896325627,100,0.00012289523147046566,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(29  'predict')'.
predict,onxpython_compiled,,10000,5,True,,100,1,0.0007210308685898781,0.0007883650250732899,0.0007229517214000225,0.0007399329915642738,0.0007305603474378585,0.0007210308685898781,0.000744460663740165,100,0.0007298763375729322,1,4.0,12.0,663.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(29  'predict')'.
predict,onxonnxruntime1,,10000,5,True,,100,1,0.003452364820986986,0.004062201827764511,0.003474307246506214,0.003725626040250063,0.003532497608102858,0.003452364820986986,0.0036758425811720557,100,0.003519049845635891,1,4.0,12.0,663.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(29  'predict')'.
predict_proba,skl,1.0,10000,5,True,,100,1,0.00024684611707925797,0.0003740810789167881,0.00024896999821066856,0.0002716872841119766,0.0002555108908563852,0.00024684611707925797,0.00028103492058930427,100,0.0002527886535972357,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(29  'predict')'.
predict_proba,onxpython_compiled,,10000,5,True,,100,1,0.0007198480889201164,0.0007817307487130165,0.0007204236462712288,0.0007389457896351814,0.0007279074983671307,0.0007198480889201164,0.0007417560072185197,100,0.0007269538473337889,1,4.0,12.0,663.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(29  'predict')'.
predict_proba,onxonnxruntime1,,10000,5,True,,100,1,0.0031711412593722343,0.003960471600294113,0.0031888852827250957,0.0039185346104204655,0.0035791902942582964,0.0031711412593722343,0.003960471600294113,100,0.0038003043737262487,1,4.0,12.0,663.0,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(29  'predict')'.
predict,py,,10000,5,True,,100,1,5.555013194680214e-05,0.00012135598808526993,5.6463293731212616e-05,7.33332708477974e-05,6.0751768760383126e-05,5.555013194680214e-05,7.56608017099044e-05,100,5.837157368659973e-05,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(29  'predict')'.
predict_proba,py,,10000,5,True,,100,1,0.0003310129977762699,0.0003633033484220505,0.0003326777368783951,0.00035422202199697495,0.0003364968067035079,0.0003310129977762699,0.0003457518237087096,100,0.0003355788066983223,1,,,,ERROR: Dim (10000 )-(10000 ) - discrepencies between 'skl' and 'onxpython_compiled' for '(29  'predict')'.
predict,skl,1.0,1,5,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,5.3252093493938446e-05,0.00017652194947004318,5.334615707397461e-05,6.485404446721077e-05,5.637471098452807e-05,5.3252093493938446e-05,8.086573568399912e-05,100,5.4633477702736855e-05,0,,,,
predict,onxpython_compiled,,1,5,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.709830343723297e-05,7.951492443680763e-05,3.727106377482414e-05,4.4386833906173706e-05,3.8341358304023744e-05,3.709830343723297e-05,4.677221048222508e-05,100,3.7645455449819565e-05,0,2.0,12.0,499.0,
predict,onxonnxruntime1,,1,5,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.3964792490005493e-05,8.762301877140999e-05,2.4009961634874344e-05,2.7046073228120804e-05,2.5029554963111876e-05,2.3964792490005493e-05,3.743080483852607e-05,100,2.4270033463835716e-05,0,2.0,12.0,499.0,
predict_proba,skl,1.0,1,5,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,7.288111373782158e-05,0.00010284408926963806,7.311208173632622e-05,8.570821955800056e-05,7.586805615574122e-05,7.288111373782158e-05,8.377767971691743e-05,100,7.536797784268856e-05,0,,,,
predict_proba,onxpython_compiled,,1,5,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.548525273799896e-05,5.395105108618736e-05,3.5664066672325134e-05,4.205293953418732e-05,3.665924072265625e-05,3.548525273799896e-05,4.144324835819644e-05,100,3.607966937124729e-05,0,2.0,12.0,499.0,
predict_proba,onxonnxruntime1,,1,5,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,2.2138934582471848e-05,4.146900027990341e-05,2.2219959646463394e-05,2.910662442445755e-05,2.301185391843319e-05,2.2138934582471848e-05,2.7850678051971073e-05,100,2.245861105620861e-05,0,2.0,12.0,499.0,
predict,py,,1,5,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,1.0483898222446442e-05,1.980084925889969e-05,1.0529998689889908e-05,1.1492986232042313e-05,1.085583120584488e-05,1.0483898222446442e-05,1.266777041099916e-05,100,1.0729068890213966e-05,0,,,,
predict_proba,py,,1,5,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,3.485521301627159e-05,5.8101024478673935e-05,3.48798930644989e-05,3.88449989259243e-05,3.550701308995485e-05,3.485521301627159e-05,4.024533251600472e-05,100,3.5139499232172966e-05,0,,,,
predict,skl,1.0,10,5,True,{<class 'sklearn.linear_model._logistic.LogisticRegression'>: {'zipmap': False}},100,1,5.176616832613945e-05,7.15763308107853e-05,5.183415487408638e-05,5.967589095234871e-05,5.290083587169647e-05,5.176616832613945e-05,5.854828673862949e-05,100,5.228910595178604e-05,0,,,,
