alpha,fit_prior,method,n_obs,nfeat,time_ort,time_skl
0.5,True,predict_proba,1,20,6.802946999999726e-05,0.0001154012099999946
0.5,True,predict,10,20,6.737762000000202e-05,6.178750999999316e-05
0.5,True,predict_proba,10,20,9.581410000000013e-05,0.00011897256000000134
0.5,False,predict,1,20,6.90882300000073e-05,4.8880870000003184e-05
0.5,False,predict_proba,1,20,6.74882300000057e-05,0.00015018631000000227
0.5,False,predict,10,20,7.337069000000085e-05,8.109413000000565e-05
0.5,False,predict_proba,10,20,7.847883000000166e-05,0.00015925691000000518
1.0,True,predict,1,20,6.588823999999605e-05,4.8675440000005564e-05
1.0,True,predict_proba,1,20,6.75237899999992e-05,0.00011142294999999969
1.0,True,predict,10,20,7.362748000000252e-05,7.515241000000117e-05
1.0,True,predict_proba,10,20,8.02526499999967e-05,0.00012587426999999707
1.0,False,predict,1,20,6.834156000000035e-05,6.371145000000133e-05
1.0,False,predict_proba,1,20,6.66072500000059e-05,9.762346999999671e-05
1.0,False,predict,10,20,7.417267000000117e-05,5.12630900000044e-05
1.0,False,predict_proba,10,20,8.587041000000183e-05,0.00011786639000000321
0.0,True,predict,1,50,6.439491000000075e-05,4.598507999999946e-05
0.0,True,predict_proba,1,50,6.752773999999739e-05,0.00014742088999999403
0.0,True,predict,10,50,7.568970000000341e-05,8.310103999999541e-05
0.0,True,predict_proba,10,50,8.772719999999623e-05,0.00011028121999999919
0.0,False,predict,1,50,6.559984000000795e-05,5.345568000000078e-05
0.0,False,predict_proba,1,50,6.101318999999883e-05,0.00013441549000000385
0.0,False,predict,10,50,7.668524999999704e-05,6.049170999999909e-05
0.0,False,predict_proba,10,50,8.836324999999867e-05,0.00011866045999999741
0.5,True,predict,1,50,7.108329000000247e-05,4.861618000000512e-05
0.5,True,predict_proba,1,50,6.870897000000653e-05,0.00014142387000000588
0.5,True,predict,10,50,6.669020999999553e-05,6.036529000000179e-05
0.5,True,predict_proba,10,50,9.354250000000342e-05,0.000162200109999997
0.5,False,predict,1,50,6.813613000000273e-05,7.77716699999953e-05
0.5,False,predict_proba,1,50,6.335194000000044e-05,0.0001521932200000009
0.5,False,predict,10,50,6.927786000000324e-05,8.178943999999966e-05
0.5,False,predict_proba,10,50,9.055978000000131e-05,0.00013031475000000015
1.0,True,predict,1,50,6.662699999999688e-05,6.010850000000012e-05
1.0,True,predict_proba,1,50,6.866550999999888e-05,0.000103225440000001
1.0,True,predict,10,50,7.538550000000476e-05,5.198999999999287e-05
1.0,True,predict_proba,10,50,8.200277000000255e-05,0.00015818234000000153
1.0,False,predict,1,50,5.6043329999999615e-05,5.8180600000001806e-05
1.0,False,predict_proba,1,50,6.808872999999771e-05,0.00010365604999999611
1.0,False,predict,10,50,7.679587000000154e-05,8.20343700000059e-05
1.0,False,predict_proba,10,50,8.914941000000454e-05,0.00011751083000000051
0.0,True,predict,1,100,6.693910000000969e-05,4.892038000001264e-05
0.0,True,predict_proba,1,100,6.56037999999981e-05,0.00011557503999998887
0.0,True,predict,10,100,7.826550000000765e-05,8.390301000000378e-05
0.0,True,predict_proba,10,100,8.856471999999726e-05,0.00011851427999999942
0.0,False,predict,1,100,6.778058000000087e-05,4.959987999999527e-05
0.0,False,predict_proba,1,100,6.815589000000344e-05,0.00011203529000001212
0.0,False,predict,10,100,7.500623999998624e-05,5.2863090000005995e-05
0.0,False,predict_proba,10,100,8.88136199999856e-05,0.00016073838999998812
0.5,True,predict,1,100,7.52195800000166e-05,7.617562000000077e-05
0.5,True,predict_proba,1,100,6.862206000000981e-05,0.00011332319000000978
0.5,True,predict,10,100,7.597808999999956e-05,8.56965900000084e-05
0.5,True,predict_proba,10,100,7.583981999999879e-05,0.00017204503000000314
0.5,False,predict,1,100,6.832971999999771e-05,4.9133710000006655e-05
0.5,False,predict_proba,1,100,6.746452999999874e-05,0.0001113123299999863
0.5,False,predict,10,100,7.664179000000714e-05,8.357116000000886e-05
0.5,False,predict_proba,10,100,7.574895999999498e-05,0.00015937541999999638
1.0,True,predict,1,100,6.57776200000093e-05,5.009765999998805e-05
1.0,True,predict_proba,1,100,6.819538999998542e-05,0.00014071275999999244
1.0,True,predict,10,100,7.482450999999556e-05,8.401758000001536e-05
1.0,True,predict_proba,10,100,7.338255000000516e-05,0.00016013393999999792
1.0,False,predict,1,100,6.483342999999309e-05,6.11554099999978e-05
1.0,False,predict_proba,1,100,6.913169000000608e-05,0.00010036519999999883
1.0,False,predict,10,100,7.578451000000541e-05,5.27011100000152e-05
1.0,False,predict_proba,10,100,0.00010391679000001374,0.00016206579000000332
0.0,True,predict,1,200,8.38002999999965e-05,3.9581139999995686e-05
0.0,True,predict_proba,1,200,7.132031999999455e-05,0.00011814688000001183
0.0,True,predict,10,200,8.487485999999933e-05,0.0001143582499999951
0.0,True,predict_proba,10,200,9.296571000000142e-05,0.00012848957000000994
0.0,False,predict,1,200,6.936871999998928e-05,4.815396000001471e-05
0.0,False,predict_proba,1,200,6.870896999998877e-05,9.858346999999768e-05
0.0,False,predict,10,200,8.135881999999484e-05,7.640476000000617e-05
0.0,False,predict_proba,10,200,9.40442299999944e-05,0.00015626233999999073
0.5,True,predict,1,200,6.767785999999276e-05,4.228335000000527e-05
0.5,True,predict_proba,1,200,6.937662000000344e-05,0.00010797010999999301
0.5,True,predict,10,200,7.994846000000777e-05,6.580922999999573e-05
0.5,True,predict_proba,10,200,9.197014999999809e-05,0.00013494487000000887
0.5,False,predict,1,200,6.69628099999997e-05,5.4075920000009605e-05
0.5,False,predict_proba,1,200,6.679688000000184e-05,0.00014537447000000369
0.5,False,predict,10,200,8.257561000000635e-05,6.534700999999643e-05
0.5,False,predict_proba,10,200,9.656866000000264e-05,0.00011474541000000115
1.0,True,predict,1,200,7.398303000000439e-05,5.038605999999391e-05
1.0,True,predict_proba,1,200,6.985860000000344e-05,0.00010999678000001012
1.0,True,predict,10,200,8.010253000000134e-05,6.29963999999994e-05
1.0,True,predict_proba,10,200,9.312372999998431e-05,0.00011079479999999364
1.0,False,predict,1,200,6.907637999999495e-05,4.936283999999347e-05
1.0,False,predict_proba,1,200,7.132428000000246e-05,0.0001490129799999984
1.0,False,predict,10,200,8.053313999999646e-05,5.52413499999993e-05
1.0,False,predict_proba,10,200,9.175285999999616e-05,0.00010852319999999693
