name,version,value
date,2019-12-05,
python,,"3.7.2 (default, Mar  1 2019, 18:34:21) 
[GCC 6.3.0 20170516]"
platform,,linux
OS,,Linux-4.9.0-8-amd64-x86_64-with-debian-9.6
machine,,x86_64
processor,,
release,,4.9.0-8-amd64
architecture,,"('64bit', '')"
mlprodict,0.3,
numpy,1.17.4,"openblas, language=c"
onnx,1.6.34,opset=12
onnxruntime,1.0.992,CPU-MKL-ML
pandas,0.25.3,
skl2onnx,1.6.991,
sklearn,0.22,
