N,alphas,count,dim,fit_priors,lib,lower,max,max3,mean,median,method,min,min3,ort_nodes,ort_size,repeat,skl_nb_nase_estimators,upper
10,0.0,100,200,True,skl,6.322399713099003e-05,9.863602463155985e-05,7.403793279081583e-05,6.459107273258268e-05,6.381398998200893e-05,predict,6.322399713099003e-05,6.34870957583189e-05,,,100,1.0,7.213782115921982e-05
10,0.0,100,200,True,ort,4.6664965339004993e-05,8.394801989197731e-05,5.4356991313397884e-05,4.774296074174344e-05,4.7043024096637964e-05,predict,4.6664965339004993e-05,4.6823988668620586e-05,13.0,3076.0,100,,5.530719530633267e-05
10,0.0,100,200,True,skl,0.00012506602797657251,0.00015857303515076637,0.0001415410079061985,0.0001277446758467704,0.00012622354552149773,predict_proba,0.00012506602797657251,0.00012542703188955784,,,100,1.0,0.00013675330531750957
10,0.0,100,200,True,ort,5.358806811273098e-05,7.318099960684776e-05,5.969800986349583e-05,5.4477810626849534e-05,5.408999277278781e-05,predict_proba,5.358806811273098e-05,5.375908222049475e-05,13.0,3076.0,100,,5.857862287648886e-05
1,0.0,100,200,False,skl,5.763792432844639e-05,0.00014117802493274212,6.582599598914385e-05,5.9391685063019395e-05,5.810055881738663e-05,predict,5.763792432844639e-05,5.773594602942467e-05,,,100,1.0,7.587409509703623e-05
1,0.0,100,200,False,ort,3.8724043406546116e-05,0.00010733294766396284,4.554004408419132e-05,3.991173929534852e-05,3.900594310835004e-05,predict,3.8724043406546116e-05,3.881496377289295e-05,13.0,3076.0,100,,5.334253335128263e-05
1,0.0,100,200,False,skl,0.00011606502812355757,0.0001664099982008338,0.00013026793021708727,0.00011870294227264822,0.00011699454626068473,predict_proba,0.00011606502812355757,0.00011630798690021038,,,100,1.0,0.00013002043676219846
1,0.0,100,200,False,ort,4.033499862998724e-05,5.818507634103298e-05,4.580896347761154e-05,4.1060869116336106e-05,4.071107832714915e-05,predict_proba,4.033499862998724e-05,4.044105298817158e-05,13.0,3076.0,100,,4.5017561022762385e-05
10,0.0,100,200,False,skl,6.340804975479841e-05,9.431596845388412e-05,6.954802665859461e-05,6.446308456361294e-05,6.384594598785043e-05,predict,6.340804975479841e-05,6.350199691951275e-05,,,100,1.0,7.086627640338505e-05
10,0.0,100,200,False,ort,4.660396371036768e-05,8.03070142865181e-05,5.29770040884614e-05,4.7492189332842825e-05,4.6923523768782616e-05,predict,4.660396371036768e-05,4.6666013076901436e-05,13.0,3076.0,100,,5.4245085090842914e-05
10,0.0,100,200,False,skl,0.00012504402548074722,0.00016008294187486172,0.0001415889710187912,0.00012774366769008338,0.00012607750250026584,predict_proba,0.00012504402548074722,0.0001252379734069109,,,100,1.0,0.00013760069716959838
10,0.0,100,200,False,ort,5.3508090786635876e-05,7.4234907515347e-05,5.968799814581871e-05,5.4325171513482926e-05,5.3922529332339764e-05,predict_proba,5.3508090786635876e-05,5.363998934626579e-05,13.0,3076.0,100,,5.8619670101304864e-05
1,0.5,100,1,True,skl,5.709007382392883e-05,0.00010599696543067694,6.687501445412636e-05,5.860353820025921e-05,5.760003114119172e-05,predict,5.709007382392883e-05,5.727296229451895e-05,,,100,1.0,6.868555772438257e-05
1,0.5,100,1,True,ort,3.760890103876591e-05,8.923094719648361e-05,4.283105954527855e-05,3.868656000122428e-05,3.797805402427912e-05,predict,3.760890103876591e-05,3.766396548599005e-05,13.0,1479.0,100,,4.8816340697008164e-05
1,0.5,100,1,True,skl,0.00011577096302062273,0.00016009097453206778,0.00013090204447507858,0.0001181246421765536,0.00011652748798951507,predict_proba,0.00011577096302062273,0.00011588400229811668,,,100,1.0,0.00012868730275079034
1,0.5,100,1,True,ort,3.9551989175379276e-05,5.6543038226664066e-05,4.504306707531214e-05,4.025436122901738e-05,3.987498348578811e-05,predict_proba,3.9551989175379276e-05,3.96540854126215e-05,13.0,1479.0,100,,4.392934072012585e-05
