lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_estimators_.size,fit_estimators_.n_classes_,fit_estimators_.sum|tree_.node_count,fit_estimators_.n_features_,fit_estimators_.sum|tree_.leave_count,fit_estimators_.max|tree_.max_depth,fit_n_classes_,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_..n_features_,fit_estimators_..n_classes_,fit_estimators_.sum|.sum|tree_.node_count,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_.sum|.sum|tree_.leave_count,fit_validation_score_.shape,fit__predictors.size,fit__predictors.sum|tree_.node_count,fit__predictors.sum|tree_.leave_count,fit__predictors.max|tree_.max_depth,fit__fit_X.shape,fit_objective,fit_n_targets,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_singular_.shape,fit_intercept_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
pyrt,50,boston,-1,ADA,True,5,1,0.000975513830780983,0.0010420596227049828,0.0009942896664142608,0.000975513830780983,0.0010420596227049828,5,0.0009778756648302078,1.3131534316812577e-06,1.8310546820998752e-06,9.264264662078858e-07,1.3131534316812577e-06,1.8310546820998752e-06,9.264264662078858e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,50,boston,-1,ADA,True,5,1,0.0006949072703719139,0.0007075821049511433,0.0007001973688602447,0.0006949072703719139,0.0007075821049511433,5,0.0007000472396612167,1.3131534316812577e-06,1.8310546820998752e-06,9.264264662078858e-07,1.3131534316812577e-06,1.8310546820998752e-06,9.264264662078858e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,100,boston,-1,ADA,True,5,1,0.0005662650801241398,0.000696985051035881,0.0006006895564496517,0.0005662650801241398,0.0006959129606463549,5,0.0005791210569441319,1.6077021598448482e-06,1.8310546820998752e-06,9.264264662078858e-07,1.6077021598448482e-06,1.8310546820998752e-06,9.264264662078858e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,100,boston,-1,ADA,True,5,1,0.0026776567101478577,0.0027439859695732594,0.0027028715237975122,0.0026776567101478577,0.0027439859695732594,5,0.002696775831282139,1.6077021598448482e-06,1.8310546820998752e-06,9.264264662078858e-07,1.6077021598448482e-06,1.8310546820998752e-06,9.264264662078858e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,100,boston,-1,ADA,True,5,1,0.001130108255892992,0.0012929760850965977,0.001164732500910759,0.001130108255892992,0.0012904879616487642,5,0.0011351206339895725,1.6077021598448482e-06,1.8310546820998752e-06,9.264264662078858e-07,1.6077021598448482e-06,1.8310546820998752e-06,9.264264662078858e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,100,boston,-1,ADA,True,5,1,0.0008468045853078365,0.0011009792797267437,0.0009031368419528008,0.0008468045853078365,0.0010972756401950935,5,0.0008590291254222393,1.6077021598448482e-06,1.8310546820998752e-06,9.264264662078858e-07,1.6077021598448482e-06,1.8310546820998752e-06,9.264264662078858e-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,200,boston,-1,ADA,True,5,1,0.0010666861198842525,0.0011758212931454182,0.001094452291727066,0.0010666861198842525,0.0011752825714104855,5,0.001074769999831915,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,200,boston,-1,ADA,True,5,1,0.002962893806397915,0.0030230269767344,0.0029963589273393153,0.002962893806397915,0.0030230269767344,5,0.0029952521435916424,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,200,boston,-1,ADA,True,5,1,0.001444745808839798,0.001557270996272564,0.00147847356274724,0.001444745808839798,0.001557270996272564,5,0.0014496040530502796,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,200,boston,-1,ADA,True,5,1,0.001158206257969141,0.0013643871061503887,0.0012020083144307137,0.001158206257969141,0.0013613067148500674,5,0.0011602789163589478,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,1.8310546820998752e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,500,boston,-1,ADA,True,5,1,0.0025187013670802116,0.0026195342652499676,0.0025504032149910928,0.0025187013670802116,0.0026195342652499676,5,0.002534411381930113,1.8005371046569963e-06,1.8310546820998752e-06,1.6784667948854803e-06,1.8005371046569963e-06,1.8310546820998752e-06,1.6784667948854803e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,500,boston,-1,ADA,True,5,1,0.0037150541320443153,0.003768639173358679,0.003737745899707079,0.0037150541320443153,0.003768639173358679,5,0.0037341141141951084,1.8005371046569963e-06,1.8310546820998752e-06,1.6784667948854803e-06,1.8005371046569963e-06,1.8310546820998752e-06,1.6784667948854803e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,500,boston,-1,ADA,True,5,1,0.0024038152769207954,0.0026093940250575542,0.0024565799161791802,0.0024038152769207954,0.0026093940250575542,5,0.0024135690182447433,1.8005371046569963e-06,1.8310546820998752e-06,1.6784667948854803e-06,1.8005371046569963e-06,1.8310546820998752e-06,1.6784667948854803e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
