method,lib,skl_nb_base_estimators,N,activation,dim,hidden_layer_sizes,onnx_options,repeat,number,min,max,min3,max3,mean,lower,upper,count,median,error_c,onnx_nodes,onnx_opset,ort_size,error
predict_proba,skl,1.0,100,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0001934971660375595,0.00022708717733621597,0.00019653886556625366,0.00020479969680309296,0.00020209914073348044,0.0001934971660375595,0.00022038640936038976,10,0.0001980331726372242,0,,,,
predict_proba,onxpython_compiled,,100,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00014178361743688583,0.00714106485247612,0.00014633312821388245,0.0001581292599439621,0.0008496641181409359,0.00014178361743688583,0.004960078386030657,10,0.00014919135719537735,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,100,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,6.882939487695694e-05,8.828192949295044e-05,6.924662739038467e-05,7.17630609869957e-05,7.21009448170662e-05,6.882939487695694e-05,8.320923346645207e-05,10,6.946548819541931e-05,0,13.0,12.0,2781.0,
predict,skl,1.0,1000,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.000520363450050354,0.011605074629187584,0.0005218163132667542,0.000529794953763485,0.0016351424157619477,0.000520363450050354,0.00814886127722617,10,0.0005238186568021774,0,,,,
predict,onxpython_compiled,,1000,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0005811704322695732,0.011362157762050629,0.0005866102874279022,0.0006073471158742905,0.0016929612495005131,0.0005811704322695732,0.008011989999285379,10,0.000591648742556572,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,1000,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00020768586546182632,0.0005235606804490089,0.00021291151642799377,0.00023520365357398987,0.00025059496983885764,0.00020768586546182632,0.00043009808324480196,10,0.00021813251078128815,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,1000,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0005309432744979858,0.01039600558578968,0.0005356390029191971,0.0005419105291366577,0.0015268088318407536,0.0005309432744979858,0.007321414048641105,10,0.0005372636951506138,0,,,,
predict_proba,onxpython_compiled,,1000,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0005783820524811745,0.0006181513890624046,0.0005815522745251656,0.0005856556817889214,0.0005869084037840366,0.0005783820524811745,0.0006100357025826517,10,0.0005819057114422321,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,1000,relu,2,"(2,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00020636152476072311,0.00023510120809078217,0.00020704977214336395,0.0002143513411283493,0.0002135487273335457,0.00020636152476072311,0.0002347730440548378,10,0.00020750658586621284,0,13.0,12.0,2781.0,
predict,skl,1.0,1,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00013153161853551865,0.00019217003136873245,0.00013592839241027832,0.0001457110047340393,0.00014380039647221565,0.00013153161853551865,0.00017670271348786494,10,0.0001386641524732113,0,,,,
predict,onxpython_compiled,,1,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,7.553491741418839e-05,0.00011772476136684418,7.729697972536087e-05,8.258037269115448e-05,8.290410041809083e-05,7.553491741418839e-05,0.00010644874485333259,10,7.823621854186058e-05,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,1,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00012209452688694,0.006235049106180668,0.00012264586985111237,0.00013651885092258453,0.000747018214315176,0.00012209452688694,0.004333051665885281,10,0.00012521306052803993,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,1,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00013668090105056763,0.00016891863197088242,0.00014016032218933105,0.0001470465213060379,0.00014548506587743759,0.00013668090105056763,0.00016316016309724475,10,0.00014388654381036758,0,,,,
predict_proba,onxpython_compiled,,1,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,7.495470345020294e-05,9.417533874511719e-05,7.775798439979553e-05,8.131470531225204e-05,8.013574406504632e-05,7.495470345020294e-05,9.071200623294384e-05,10,7.898639887571335e-05,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,1,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00011722929775714874,0.002921873703598976,0.00012135598808526993,0.00012893974781036377,0.0005295040085911751,0.00011722929775714874,0.0022612644304636884,10,0.00012159347534179688,0,13.0,12.0,2781.0,
predict,skl,1.0,10,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.000141252763569355,0.00017771869897842407,0.0001462753862142563,0.00015237927436828613,0.00015030885115265846,0.000141252763569355,0.00017012833828615822,10,0.00014677783474326134,0,,,,
predict,onxpython_compiled,,10,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,8.895248174667358e-05,0.00012126099318265915,9.183771908283234e-05,9.669270366430283e-05,9.583514183759689e-05,8.895248174667358e-05,0.00011364407826770212,10,9.24491323530674e-05,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,10,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00012503843754529953,0.0034198984503746033,0.0001305239275097847,0.0001383693888783455,0.0004642005078494549,0.00012503843754529953,0.0023953433970171044,10,0.00013500172644853592,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,10,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00014748238027095795,0.00017626304179430008,0.00015254411846399307,0.0001598438248038292,0.00015669800341129304,0.00014748238027095795,0.0001725396721352601,10,0.00015499116852879524,0,,,,
predict_proba,onxpython_compiled,,10,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,8.838996291160583e-05,0.007826351560652256,9.274575859308243e-05,0.00010309740900993347,0.000869155116379261,8.838996291160583e-05,0.005414542344467306,10,9.597279131412506e-05,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,10,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,7.3176808655262e-05,0.009619373828172684,7.345248013734818e-05,0.0002202540636062622,0.0012064781039953232,7.3176808655262e-05,0.006783715975080953,10,7.389485836029053e-05,0,13.0,12.0,2781.0,
predict,skl,1.0,100,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.000370650552213192,0.004926749505102634,0.0003847302868962288,0.0004149042069911957,0.0008442394435405731,0.000370650552213192,0.0035116486408514986,10,0.0003858557902276516,0,,,,
predict,onxpython_compiled,,100,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00027698371559381485,0.00046640634536743164,0.0002833288162946701,0.0002891840413212776,0.0003037658520042896,0.00027698371559381485,0.0004108441501471813,10,0.0002848864533007145,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,100,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00015022791922092438,0.0005169650539755821,0.00015834346413612366,0.00018222816288471222,0.00019967127591371536,0.00015022791922092438,0.0004083467084883912,10,0.0001617702655494213,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,100,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00038553494960069656,0.0006174324080348015,0.00039399322122335434,0.00040810275822877884,0.0004198968410491943,0.00038553494960069656,0.0005503868115044812,10,0.000394660048186779,0,,,,
predict_proba,onxpython_compiled,,100,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0002679256722331047,0.0004567820578813553,0.00028176046907901764,0.00028956588357686996,0.0003004456870257854,0.0002679256722331047,0.00040424048116146,10,0.00028278352692723274,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,100,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00014937389642000198,0.0031653698533773422,0.00015945546329021454,0.00017382856458425522,0.00048567960038781166,0.00014937389642000198,0.002241844231080471,10,0.00016489066183567047,0,13.0,12.0,2781.0,
predict,skl,1.0,1000,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0010686283931136131,0.004969777539372444,0.0010854639112949371,0.0011903364211320877,0.00149938790127635,0.0010686283931136131,0.0037692609653485433,10,0.0010892446152865887,0,,,,
predict,onxpython_compiled,,1000,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0010865144431591034,0.0012237569317221642,0.0010908953845500946,0.001109766773879528,0.0011160516180098057,0.0010865144431591034,0.0012013371880658626,10,0.0010944632813334465,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,1000,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.000371001660823822,0.00858618039637804,0.0003776196390390396,0.0004183584824204445,0.0012114125303924084,0.000371001660823822,0.006029866058434018,10,0.00038040196523070335,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,1000,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0010742731392383575,0.0013775024563074112,0.0010907882824540138,0.0011198902502655983,0.0011274345219135285,0.0010742731392383575,0.0012946963333336867,10,0.0010983129031956196,0,,,,
predict_proba,onxpython_compiled,,1000,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0010781455785036087,0.00118341576308012,0.0010875808075070381,0.0011037979274988174,0.0011000435799360276,0.0010781455785036087,0.0011572679516848796,10,0.0010918076150119305,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,1000,relu,2,"(10,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0003639589995145798,0.00563172809779644,0.00037996936589479446,0.000395188108086586,0.000907096266746521,0.0003639589995145798,0.003993922347109602,10,0.00038105621933937073,0,13.0,12.0,2781.0,
predict,skl,1.0,1,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00012804381549358368,0.0078027332201600075,0.0001307474449276924,0.0001877741888165474,0.0009428285993635654,0.00012804381549358368,0.0054301218876301564,10,0.0001329495571553707,0,,,,
predict,onxpython_compiled,,1,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,7.432978600263596e-05,0.0001174556091427803,7.705949246883392e-05,8.123461157083511e-05,8.2388985902071e-05,7.432978600263596e-05,0.00010614499713193967,10,7.819710299372673e-05,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,1,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,4.8005953431129456e-05,0.023998661898076534,4.853866994380951e-05,0.011987447738647461,0.007784140482544899,4.8005953431129456e-05,0.023998661898076534,10,0.004473801702260971,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,1,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.0001369919627904892,0.0001735873520374298,0.00014077406376600266,0.00014801695942878723,0.00014645587652921676,0.0001369919627904892,0.00016651431186420293,10,0.00014426792040467262,0,,,,
predict_proba,onxpython_compiled,,1,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,7.481686770915985e-05,9.876769036054611e-05,7.750745862722397e-05,8.103065192699432e-05,8.071362972259522e-05,7.481686770915985e-05,9.362601264987202e-05,10,7.9362653195858e-05,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,1,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,4.7472305595874786e-05,6.529130041599274e-05,4.860013723373413e-05,5.135685205459595e-05,5.112290382385254e-05,4.7472305595874786e-05,6.112262616517036e-05,10,4.891306161880493e-05,0,13.0,12.0,2781.0,
predict,skl,1.0,10,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00014168862253427505,0.00017583463340997696,0.00014286581426858902,0.0001516547054052353,0.00014943936839699744,0.00014168862253427505,0.000168710057096195,10,0.00014659203588962555,0,,,,
predict,onxpython_compiled,,10,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,9.151361882686615e-05,0.00012099370360374451,9.277183562517166e-05,9.848736226558685e-05,9.726546704769135e-05,9.151361882686615e-05,0.0001139588645122075,10,9.392807260155678e-05,0,13.0,12.0,2781.0,
predict,onxonnxruntime1,,10,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,5.0768256187438965e-05,0.010974891483783722,5.140155553817749e-05,5.4331496357917786e-05,0.0011449539102613925,5.0768256187438965e-05,0.007567182547712497,10,5.144067108631134e-05,0,13.0,12.0,2781.0,
predict_proba,skl,1.0,10,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00014675036072731018,0.00017605070024728775,0.00015318673104047775,0.00016032811254262924,0.0001564127393066883,0.00014675036072731018,0.00017254644401987912,10,0.00015485426411032677,0,,,,
predict_proba,onxpython_compiled,,10,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,8.82130116224289e-05,0.00011035054922103882,9.082350879907608e-05,9.410083293914795e-05,9.375046938657761e-05,8.82130116224289e-05,0.00010587957869721162,10,9.250128641724586e-05,0,13.0,12.0,2781.0,
predict_proba,onxonnxruntime1,,10,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,5.060620605945587e-05,6.743427366018295e-05,5.2121467888355255e-05,5.509704351425171e-05,5.4298620671033857e-05,5.060620605945587e-05,6.365702504184862e-05,10,5.273241549730301e-05,0,13.0,12.0,2781.0,
predict,skl,1.0,100,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00037465058267116547,0.006244884803891182,0.00037766899913549423,0.00039087608456611633,0.0009694467298686504,0.00037465058267116547,0.004416137002858924,10,0.0003788284957408905,0,,,,
predict,onxpython_compiled,,100,relu,2,"(20,)",{<class 'sklearn.neural_network._multilayer_perceptron.MLPClassifier'>: {'zipmap': False}},10,1,0.00027495622634887695,0.0049272989854216576,0.0002896878868341446,0.0004527866840362549,0.0011402103118598461,0.00027495622634887695,0.004423443626118805,10,0.00029403669759631157,0,13.0,12.0,2781.0,
