name,version,value
date,2019-07-23,
python,,"3.7.2 (default, Mar  1 2019, 18:34:21) 
[GCC 6.3.0 20170516]"
platform,,linux
OS,,Linux-4.9.0-8-amd64-x86_64-with-debian-9.6
machine,,x86_64
processor,,
release,,4.9.0-8-amd64
architecture,,"('64bit', '')"
mlprodict,not-imported,
numpy,1.16.4,"openblas, language=c"
onnx,1.5.0,opset=10
onnxruntime,0.4.99999997,CPU
pandas,0.25.0,
skl2onnx,1.5.9999,
sklearn,0.22.dev0,
