lib,N,dataset,dim,model,norm,repeat,number,min,max,mean,lower,upper,count,median,diff_pyrt,upper_diff_pyrt,lower_diff_pyrt,diff_pyrtc,upper_diff_pyrtc,lower_diff_pyrtc,fit_estimator_weights_.shape,fit_estimator_errors_.shape,fit_estimators_.size,fit_estimators_.max|tree_.max_depth,fit_estimators_.n_classes_,fit_estimators_.sum|tree_.leave_count,fit_estimators_.sum|tree_.node_count,fit_estimators_.n_features_,fit_n_classes_,fit_n_features_,fit_tree_.node_count,fit_tree_.leave_count,fit_tree_.max_depth,fit_estimators_.shape,fit_train_score_.shape,fit_estimators_.sum|.sum|tree_.node_count,fit_estimators_..n_classes_,fit_estimators_.max|.max|tree_.max_depth,fit_estimators_..n_features_,fit_estimators_.sum|.sum|tree_.leave_count,fit_validation_score_.shape,fit__predictors.size,fit__predictors.max|tree_.max_depth,fit__predictors.sum|tree_.leave_count,fit__predictors.sum|tree_.node_count,fit_objective,fit_n_targets,fit_node_count,fit_ntrees,fit_leave_count,fit_mode_count,fit_coef_.shape,fit_singular_.shape,fit_intercept_.shape,fit_best_loss_.shape,fit_loss_.shape,fit_class_weight_.shape,fit_support_.shape,fit_support_vectors_.shape,fit_dual_coef_.shape,fit_probA_.shape,fit_probB_.shape
pyrt,5,boston,-1,ADA,False,5,1,0.0007172063924372196,0.0007501351647078991,0.0007280489429831505,0.0007172063924372196,0.0007501351647078991,5,0.0007201540283858776,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,5,boston,-1,ADA,False,5,1,0.0004517892375588417,0.0004680696874856949,0.00045870225876569747,0.0004517892375588417,0.0004680696874856949,5,0.000458455178886652,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,8.071892324323926e-07,8.958109276591131e-07,6.442599946865357e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,10,boston,-1,ADA,False,5,1,0.0001287427730858326,0.00018390314653515816,0.00014245882630348206,0.0001287427730858326,0.00018346892290151107,5,0.0001324741169810295,8.572642421711407e-07,9.501290314517519e-07,7.740772574038601e-07,8.572642421711407e-07,9.501290314517519e-07,7.740772574038601e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,10,boston,-1,ADA,False,5,1,0.002402098849415779,0.0024506873451173306,0.002413805015385151,0.002402098849415779,0.002450218029432236,5,0.0024042855948209763,8.572642421711407e-07,9.501290314517519e-07,7.740772574038601e-07,8.572642421711407e-07,9.501290314517519e-07,7.740772574038601e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,10,boston,-1,ADA,False,5,1,0.0007389970123767853,0.000770248007029295,0.000749262236058712,0.0007389970123767853,0.000770248007029295,5,0.0007429840043187141,8.572642421711407e-07,9.501290314517519e-07,7.740772574038601e-07,8.572642421711407e-07,9.501290314517519e-07,7.740772574038601e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,10,boston,-1,ADA,False,5,1,0.0004806159995496273,0.0004948251880705357,0.0004869616590440273,0.0004806159995496273,0.0004948251880705357,5,0.0004878053441643715,8.572642421711407e-07,9.501290314517519e-07,7.740772574038601e-07,8.572642421711407e-07,9.501290314517519e-07,7.740772574038601e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,20,boston,-1,ADA,False,5,1,0.0001762276515364647,0.00024564098566770554,0.00019364897161722183,0.0001762276515364647,0.00024494677224200104,5,0.00018265517428517342,1.3833144990371692e-06,1.7632378401799542e-06,9.39002404720668e-07,1.3833144990371692e-06,1.7632378401799542e-06,9.39002404720668e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,20,boston,-1,ADA,False,5,1,0.002412733156234026,0.0024772388860583305,0.002431968413293362,0.002412733156234026,0.0024772388860583305,5,0.002425373997539282,1.3833144990371692e-06,1.7632378401799542e-06,9.39002404720668e-07,1.3833144990371692e-06,1.7632378401799542e-06,9.39002404720668e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,20,boston,-1,ADA,False,5,1,0.0009170523844659328,0.0010507302358746529,0.0009486747905611992,0.0009170523844659328,0.001049208291116648,5,0.0009217816404998302,1.3833144990371692e-06,1.7632378401799542e-06,9.39002404720668e-07,1.3833144990371692e-06,1.7632378401799542e-06,9.39002404720668e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,20,boston,-1,ADA,False,5,1,0.0006301547400653362,0.0006472920067608356,0.0006351647898554802,0.0006301547400653362,0.0006472768676142361,5,0.0006330660544335842,1.3833144990371692e-06,1.7632378401799542e-06,9.39002404720668e-07,1.3833144990371692e-06,1.7632378401799542e-06,9.39002404720668e-07,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,50,boston,-1,ADA,False,5,1,0.00031990138813853264,0.0004228358156979084,0.0003455483354628086,0.00031990138813853264,0.0004223422052060201,5,0.0003236103802919388,1.767779588135454e-06,1.8584422534217993e-06,1.4107182337852464e-06,1.767779588135454e-06,1.8584422534217993e-06,1.4107182337852464e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,50,boston,-1,ADA,False,5,1,0.002507053781300783,0.002561484929174185,0.002522291988134384,0.002507053781300783,0.002561484929174185,5,0.0025137350894510746,1.767779588135454e-06,1.8584422534217993e-06,1.4107182337852464e-06,1.767779588135454e-06,1.8584422534217993e-06,1.4107182337852464e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,50,boston,-1,ADA,False,5,1,0.0009901630692183971,0.0010495400056242943,0.0010048280470073222,0.0009901630692183971,0.0010492264623688913,5,0.0009924313053488731,1.767779588135454e-06,1.8584422534217993e-06,1.4107182337852464e-06,1.767779588135454e-06,1.8584422534217993e-06,1.4107182337852464e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,50,boston,-1,ADA,False,5,1,0.0006889957003295422,0.0007147029973566532,0.0006961493752896785,0.0006889957003295422,0.0007147029973566532,5,0.0006908741779625416,1.767779588135454e-06,1.8584422534217993e-06,1.4107182337852464e-06,1.767779588135454e-06,1.8584422534217993e-06,1.4107182337852464e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,100,boston,-1,ADA,False,5,1,0.0005554151721298695,0.000678463838994503,0.000585747417062521,0.0005554151721298695,0.0006770719674367088,5,0.0005653300322592258,1.7896938629746727e-06,1.8584422534217993e-06,1.5258789147765128e-06,1.7896938629746727e-06,1.8584422534217993e-06,1.5258789147765128e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,100,boston,-1,ADA,False,5,1,0.0026416783221066,0.0027268719859421253,0.0026611329056322576,0.0026416783221066,0.002725707380349617,5,0.002645605243742466,1.7896938629746727e-06,1.8584422534217993e-06,1.5258789147765128e-06,1.7896938629746727e-06,1.8584422534217993e-06,1.5258789147765128e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrt,100,boston,-1,ADA,False,5,1,0.001129023265093565,0.0011910870671272278,0.0011461528949439526,0.001129023265093565,0.0011910870671272278,5,0.0011347527615725994,1.7896938629746727e-06,1.8584422534217993e-06,1.5258789147765128e-06,1.7896938629746727e-06,1.8584422534217993e-06,1.5258789147765128e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pyrtc,100,boston,-1,ADA,False,5,1,0.0008324920199811459,0.0008466108702123165,0.000838233157992363,0.0008324920199811459,0.0008466108702123165,5,0.0008356156758964062,1.7896938629746727e-06,1.8584422534217993e-06,1.5258789147765128e-06,1.7896938629746727e-06,1.8584422534217993e-06,1.5258789147765128e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ort,200,boston,-1,ADA,False,5,1,0.0010344358161091805,0.0011512101627886295,0.0010630827397108077,0.0010344358161091805,0.001150078891883674,5,0.0010425220243632793,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
skl,200,boston,-1,ADA,False,5,1,0.002932185772806406,0.0030400496907532215,0.0029665530659258366,0.002932185772806406,0.0030400496907532215,5,0.0029531018808484077,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,1.8584422534217993e-06,50.0,50.0,50.0,3.0,1.0,385.0,720.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
