name,version,value
date,2019-10-24,
python,,"3.7.2 (default, Mar  1 2019, 18:34:21) 
[GCC 6.3.0 20170516]"
platform,,linux
OS,,Linux-4.9.0-8-amd64-x86_64-with-debian-9.6
machine,,x86_64
processor,,
release,,4.9.0-8-amd64
architecture,,"('64bit', '')"
mlprodict,0.2,
numpy,1.17.3,"openblas, language=c"
onnx,1.6.32,opset=11
onnxruntime,0.5.9995,CPU-MKL-ML
pandas,0.25.2,
skl2onnx,1.5.999996,
sklearn,0.22.dev1,
