N,count,dim,lib,lower,max,max3,mean,median,min,min3,nbnode,number,repeat,upper
1000,20,1,ort,0.0009732926264405251,0.0023310063406825066,0.0013161893002688885,0.0011397304479032755,0.0010259898845106363,0.0009732926264405251,0.0010091671720147133,50,10,20,0.0017367568344144396
1000,20,1,npy,0.0008084141484105252,0.0009294906631112099,0.0009160893969237804,0.0008789781946688891,0.0008766078390181065,0.0007583620026707649,0.000864504836499691,50,10,20,0.0009294906631112099
10000,20,1,ort,0.0017332336865365505,0.0021074549295008183,0.001806430984288454,0.0017898357938975096,0.0017742444761097431,0.0017332336865365505,0.0017554867081344128,50,10,20,0.0019378471849717215
10000,20,1,npy,0.0017999452538788319,0.001970419194549322,0.0018991460092365742,0.0018493367824703455,0.0018409304320812225,0.0017999452538788319,0.0018168482929468155,50,10,20,0.0019260303215406966
1,20,1,ort,0.0013173753395676613,0.002945902291685343,0.0014184722676873207,0.0014426972018554806,0.0013581628445535898,0.0013173753395676613,0.0013291207142174244,100,10,20,0.002122705109346036
1,20,1,npy,0.0025440802562569404,0.0027701719664037228,0.0027248747646808624,0.0026686939876526595,0.002683625090867281,0.0025187130086123943,0.0026041283272206783,100,10,20,0.0027701719664037228
100,20,1,ort,0.001297737006098032,0.002817578613758087,0.0013466249220073223,0.0014000289607793092,0.0013268617913126945,0.001297737006098032,0.0013067838735878468,100,10,20,0.002038342144812558
100,20,1,npy,0.0011288820344665196,0.0012321919202804565,0.0012027802877128124,0.001174862706102431,0.001170282019302249,0.001115018967539072,0.0011604581959545612,100,10,20,0.0012208433777383422
1000,20,1,ort,0.001451691146939993,0.0027028671465814114,0.0015105297788977623,0.0015425720019266009,0.0014753625728189945,0.001451691146939993,0.0014603538438677788,100,10,20,0.0020666199725755357
1000,20,1,npy,0.0014854390174150467,0.0017038038931787014,0.0016588359139859676,0.001589252264238894,0.0015924747567623854,0.0014854390174150467,0.001521456055343151,100,10,20,0.0017038038931787014
10000,20,1,ort,0.003206837922334671,0.004887091927230358,0.003319895826280117,0.0033474339870736003,0.0032467308919876814,0.003206837922334671,0.003226946108043194,100,10,20,0.0040527133828595265
10000,20,1,npy,0.003420708392750171,0.0037664691917598248,0.0036867791786789894,0.003589396527968347,0.003584692720323801,0.003369983285665512,0.003530684858560562,100,10,20,0.0037580846631865227
1,20,1,ort,0.002031927928328514,0.006316905841231346,0.004556360188871622,0.002840359415858984,0.0021496193949133158,0.002031927928328514,0.002066577784717083,150,10,20,0.0051979268935369366
1,20,1,npy,0.0039377505141294095,0.004067195113748312,0.00403632503002882,0.0040044822497293355,0.004009192576631904,0.003907658159732819,0.003973318729549646,150,10,20,0.004067195113748312
100,20,1,ort,0.0021483832970261574,0.006375628989189863,0.004847169853746891,0.0030709049897268414,0.00239733699709177,0.0021483832970261574,0.002170166000723839,150,10,20,0.005511055623723995
100,20,1,npy,0.001941800011333755,0.0020686560310423374,0.0020354148000478745,0.0020049419952556493,0.0020085745491087437,0.0019388087093830109,0.001973483245819807,150,10,20,0.0020680839791775434
1000,20,1,ort,0.002612193115055561,0.006836852990090847,0.005432600155472755,0.0038033216260373592,0.003297468414530158,0.002612193115055561,0.0026974999345839024,150,10,20,0.006173492688387644
1000,20,1,npy,0.002577994018793106,0.0026893243193626404,0.0026776939630508423,0.002636796282604337,0.0026295629795640707,0.002577994018793106,0.002612450160086155,150,10,20,0.0026893243193626404
10000,20,1,ort,0.0072854626923799515,0.008534637745469809,0.007644296158105135,0.0075040511321276425,0.007446377305313945,0.0072854626923799515,0.007354242727160454,150,10,20,0.008015335695184802
10000,20,1,npy,0.005385777913033962,0.005857761949300766,0.005598330870270729,0.005533341085538268,0.0055503542535007,0.005385777913033962,0.005407667253166437,150,10,20,0.005760244169549261
1,20,1,ort,0.003898872993886471,0.008811917155981064,0.00766172306612134,0.005997780803591013,0.005812437506392598,0.003898872993886471,0.004866079892963171,200,10,20,0.008504949743004003
1,20,1,npy,0.005114830870492224,0.0054427520371973515,0.005408830940723419,0.005298705771565437,0.005310372682288289,0.0050965468399226665,0.005206866189837456,200,10,20,0.0054427520371973515
100,20,1,ort,0.002406907733529806,0.008757511153817177,0.003895367030054331,0.003082293551415205,0.002453287597745657,0.002406907733529806,0.0024198279716074467,200,10,20,0.006394443959792189
100,20,1,npy,0.0022604847326874733,0.0025243530981242657,0.00246992614120245,0.0023569323820993304,0.002322253305464983,0.0022604847326874733,0.0022885967046022415,200,10,20,0.002511672529966701
1000,20,1,ort,0.002823813818395138,0.007604488171637058,0.003018423914909363,0.003222662047483027,0.00285515608265996,0.002823813818395138,0.0028361892327666283,200,10,20,0.0054165559285349555
1000,20,1,npy,0.002890699077397585,0.0034989132545888424,0.0034211832098662853,0.0031347861513495445,0.00309252948500216,0.002890699077397585,0.0029272553510963917,200,10,20,0.0034989132545888424
10000,20,1,ort,0.010302991140633821,0.01152072474360466,0.010448421817272902,0.010447294334881008,0.010388047434389591,0.010302991140633821,0.010352225974202156,200,10,20,0.010937311147499131
10000,20,1,npy,0.006950380280613899,0.0075559611432254314,0.007244864013046026,0.007109151943586767,0.007064861478284001,0.006950380280613899,0.006990022026002407,200,10,20,0.0074044958654932574
1,20,1,ort,0.0028862678445875645,0.004570530727505684,0.002972118090838194,0.0030141472816467285,0.002931267023086548,0.0028862678445875645,0.002904952969402075,250,10,20,0.0037169775485696756
1,20,1,npy,0.005986569774242354,0.006623205728828907,0.0065460181795060635,0.006403328129090368,0.00648924196138978,0.005822035018354654,0.00627778610214591,250,10,20,0.006623205728828907
100,20,1,ort,0.002944245934486389,0.011487505864351988,0.011089282110333443,0.004971855552867055,0.002976430580019951,0.002944245934486389,0.002954239957034588,250,10,20,0.011487505864351988
100,20,1,npy,0.0028424090705811977,0.0033218469470739365,0.00331667996942997,0.0030794455436989666,0.0030806218273937702,0.0028424090705811977,0.0028748083859682083,250,10,20,0.0033218469470739365
1000,20,1,ort,0.003423816990107298,0.01248402614146471,0.011898627039045095,0.005495081981644034,0.0035020471550524235,0.003423816990107298,0.0034665600396692753,250,10,20,0.012258966166919434
1000,20,1,npy,0.003666105680167675,0.004457311239093542,0.004389309789985418,0.004005342302843928,0.0039197830483317375,0.003666105680167675,0.003685917239636183,250,10,20,0.004457311239093542
10000,20,1,ort,0.015634442950081172,0.01632563816383481,0.016162286046892405,0.016006301855668426,0.016019723378121853,0.015470313839614391,0.01593582797795534,250,10,20,0.01632563816383481
10000,20,1,npy,0.008800210065601952,0.009058065246790648,0.009022084064781666,0.008943666657432913,0.008949511917307973,0.008779330179095268,0.008875539060682058,250,10,20,0.009058065246790648
1,20,1,ort,0.012174327216707059,0.014957584906369448,0.014565296936780214,0.014110512402839958,0.014374825404956937,0.010041296016424894,0.014035954140126705,300,10,20,0.014957584906369448
1,20,1,npy,0.007695041059914984,0.008081226143985987,0.008000243920832872,0.007918022549711167,0.007928758626803756,0.007491974160075188,0.007892628200352192,300,10,20,0.008081226143985987
100,20,1,ort,0.011419571936130524,0.015432617161422968,0.01458076573908329,0.012481170776300132,0.012005367781966925,0.011419571936130524,0.01167018199339509,300,10,20,0.014839806792872477
100,20,1,npy,0.0038128974239655185,0.004123774357140064,0.004114073235541582,0.003999916347675025,0.004021655535325408,0.003775934223085642,0.003922789357602596,300,10,20,0.004123774357140064
1000,20,1,ort,0.010847805999219418,0.016450666822493076,0.014001003932207823,0.011971328663639725,0.011259777005761862,0.010847805999219418,0.011044192127883434,300,10,20,0.015015234972380078
1000,20,1,npy,0.0044849714747588875,0.004712485242635012,0.004673894960433245,0.004606693843379616,0.0046242824755609035,0.004473647102713585,0.0045327479019761086,300,10,20,0.004712485242635012
10000,20,1,ort,0.016836248338222504,0.01713274698704481,0.01700968388468027,0.01694166229572147,0.016935307532548904,0.016836248338222504,0.016887761652469635,300,10,20,0.017085136884749996
10000,20,1,npy,0.010570230893790722,0.011348981875926256,0.010928282979875803,0.010790449217893183,0.010746546555310488,0.010570230893790722,0.01062573678791523,300,10,20,0.01111757408182155
1,20,100,ort,0.0002230750396847725,0.0009096451103687286,0.0003420053981244564,0.0002864281181246042,0.0002414025366306305,0.0002230750396847725,0.00023484323173761368,1,10,20,0.0005740678016595711
1,20,100,npy,3.1111761927604675e-05,7.267110049724579e-05,3.973301500082016e-05,3.625764511525631e-05,3.388803452253342e-05,3.1111761927604675e-05,3.24491411447525e-05,1,10,20,5.317275358212044e-05
100,20,100,ort,0.00034144939854741096,0.0009595709852874279,0.000394296832382679,0.00040131148416548966,0.0003714105114340782,0.00034144939854741096,0.00035405391827225685,1,10,20,0.0006548582115081523
100,20,100,npy,0.00010419124737381935,0.00015109870582818985,0.00013632327318191528,0.00011743281502276658,0.00011324044317007065,0.00010419124737381935,0.00010823877528309822,1,10,20,0.00014056849290977426
1000,20,100,ort,0.001321377232670784,0.0018809852190315723,0.0014250981621444225,0.001390600949525833,0.0013577407225966454,0.001321377232670784,0.001333857886493206,1,10,20,0.0016268598429648974
1000,20,100,npy,0.000721415039151907,0.0007942169904708862,0.0007848530076444149,0.0007546745240688324,0.0007541370578110218,0.000721415039151907,0.0007319431751966476,1,10,20,0.0007938670118961227
10000,20,100,ort,0.043803045991808176,0.046837850008159876,0.04640349932014942,0.0453758038347587,0.04515069164335728,0.043803045991808176,0.0446971720084548,1,10,20,0.046837850008159876
10000,20,100,npy,0.028002080973237753,0.03071698872372508,0.028976083733141422,0.028675619373098017,0.028532451018691063,0.028002080973237753,0.028231284115463495,1,10,20,0.029961372653727874
1,20,100,ort,0.00024036597460508347,0.00379024725407362,0.0003059590235352516,0.0004482007585465908,0.00026738247834146023,0.00024036597460508347,0.00025032367557287216,2,10,20,0.0019518825939300525
1,20,100,npy,4.5073218643665314e-05,7.614120841026306e-05,5.904398858547211e-05,5.228512454777956e-05,5.01805916428566e-05,4.5073218643665314e-05,4.6854838728904724e-05,2,10,20,6.783030692603071e-05
100,20,100,ort,0.000408960971981287,0.0010257470421493053,0.00046606408432126045,0.00046435927506536243,0.0004320340231060982,0.000408960971981287,0.0004204786382615566,2,10,20,0.0007191083442031624
100,20,100,npy,0.0001560240052640438,0.00020240014418959618,0.0001795920543372631,0.00016608817968517543,0.00016141263768076897,0.0001560240052640438,0.00015778141096234322,2,10,20,0.00018956533099094406
1000,20,100,ort,0.002096711192280054,0.00421375734731555,0.00247853621840477,0.002324877865612507,0.0021860939450562,0.002096711192280054,0.0021323091350495815,2,10,20,0.0032257429725913154
1000,20,100,npy,0.0014036549255251884,0.001766257919371128,0.0014901910908520222,0.0014606856741011143,0.0014417034108191729,0.0014036549255251884,0.0014111376367509365,2,10,20,0.0016108510085711463
10000,20,100,ort,0.06410334864631295,0.0664678537286818,0.06529398169368505,0.06492511662654579,0.06497595435939729,0.06410334864631295,0.06438469095155597,2,10,20,0.06592104694036904
10000,20,100,npy,0.043018321972340345,0.04765042010694742,0.04759547300636768,0.045796106965281067,0.045527579728513956,0.043018321972340345,0.044176389928907156,2,10,20,0.04765042010694742
1,20,100,ort,0.0002502663992345333,0.01573476428166032,0.00035103317350149155,0.001063194079324603,0.0002790417056530714,0.0002502663992345333,0.00026737991720438004,3,10,20,0.007660794716980493
1,20,100,npy,6.13001175224781e-05,0.00010050181299448013,7.987301796674728e-05,6.96653500199318e-05,6.644846871495247e-05,6.13001175224781e-05,6.217416375875473e-05,3,10,20,8.972585759922998e-05
100,20,100,ort,0.0004667895846068859,0.0011552129872143269,0.0005074399523437023,0.0005254409508779645,0.0004932254087179899,0.0004667895846068859,0.00047205109149217606,3,10,20,0.0008123761205613878
100,20,100,npy,0.00020715268328785896,0.0002560531720519066,0.00023748306557536125,0.00022082470823079348,0.00021968153305351734,0.00020715268328785896,0.0002097836695611477,3,10,20,0.00024373271885871353
1000,20,100,ort,0.002601140644401312,0.005447876174002886,0.0028559048660099506,0.0029301984468474984,0.002809015102684498,0.002601140644401312,0.002775149419903755,3,10,20,0.004066993798093769
1000,20,100,npy,0.0014709937386214733,0.0022625396959483624,0.0018606609664857388,0.0016995179001241922,0.0017083000857383013,0.0014709937386214733,0.001516961958259344,3,10,20,0.0020552825241449985
10000,20,100,ort,0.08049553027376533,0.0907024098560214,0.08710281271487474,0.08284155461005867,0.0816131099127233,0.08049553027376533,0.08094027498736978,3,10,20,0.08814231118137549
10000,20,100,npy,0.059558296110481024,0.07118226727470756,0.06914431368932128,0.06494709481485188,0.06494395947083831,0.059558296110481024,0.0605107257142663,3,10,20,0.07118226727470756
1,20,100,ort,0.0002437848597764969,0.008373414166271687,0.0003452058881521225,0.0006882679183036089,0.00027376203797757626,0.0002437848597764969,0.0002611018717288971,5,10,20,0.0041444745911136975
1,20,100,npy,7.006898522377014e-05,0.00014561275020241737,0.00011883489787578583,8.746818639338017e-05,7.721199654042721e-05,7.006898522377014e-05,7.400987669825554e-05,5,10,20,0.00012817638654664308
100,20,100,ort,0.0005481871776282787,0.0007703099399805069,0.0005686278454959393,0.000569964898750186,0.0005579825956374407,0.0005481871776282787,0.0005511296913027763,5,10,20,0.0006631043454670329
100,20,100,npy,0.0002566200390189817,0.00028042634949088097,0.00027315085753798485,0.00026799885090440513,0.00026788050308823586,0.0002537681721150875,0.0002641109749674797,5,10,20,0.00027937766278982853
1000,20,100,ort,0.004347437992691994,0.00571436109021306,0.0055676712654531,0.004925289936363697,0.004856176907196641,0.004347437992691994,0.004563814960420132,5,10,20,0.005693103848545676
1000,20,100,npy,0.002181047573685646,0.0026259468868374825,0.00245620496571064,0.002301367302425206,0.002256036037579179,0.002181047573685646,0.002201307099312544,5,10,20,0.002538933039217266
10000,20,100,ort,0.11381327267736197,0.12451245402917266,0.11599991703405976,0.11610087205190212,0.11573620745912194,0.11381327267736197,0.11516391765326262,5,10,20,0.12018359867927662
10000,20,100,npy,0.09023207256328111,0.0984326247125864,0.0981700518168509,0.09587834102567286,0.09725284297019243,0.0876928879879415,0.09300763113424182,5,10,20,0.0984326247125864
1,20,100,ort,0.00032110419124364853,0.0006008143536746502,0.0003515300340950489,0.0003483928507193923,0.00033334107138216496,0.00032110419124364853,0.0003282390534877777,10,10,20,0.0004633117904110013
1,20,100,npy,0.00012585101649165154,0.00014567235484719276,0.00014310423284769058,0.00013388211373239757,0.0001331060193479061,0.00012585101649165154,0.00013022404164075851,10,10,20,0.0001446108697824752
100,20,100,ort,0.0007617962546646595,0.0010183728300035,0.0007945890538394451,0.0007924633566290141,0.0007843710482120514,0.0007617962546646595,0.0007641017436981201,10,10,20,0.0008964522993230421
100,20,100,npy,0.00044575100764632225,0.0004943781532347202,0.0004909178242087364,0.0004682179540395737,0.00046748179011046886,0.00044575100764632225,0.00045301299542188644,10,10,20,0.0004943781532347202
1000,20,100,ort,0.0076209320686757565,0.008395648561418056,0.008170964196324348,0.007984318980015814,0.008039036998525262,0.0076209320686757565,0.007759221829473972,10,10,20,0.008381156317530837
1000,20,100,npy,0.004010624717921019,0.004169027786701918,0.00415057223290205,0.004080401617102325,0.004055368946865201,0.004010624717921019,0.004035748075693846,10,10,20,0.004169027786701918
10000,20,100,ort,0.1998664508573711,0.21447787806391716,0.20935063576325774,0.20501089254394173,0.20512990141287446,0.1998664508573711,0.20034480514004827,10,10,20,0.2118851130227685
10000,20,100,npy,0.17302072886377573,0.19196042697876692,0.18907232908532023,0.18140405372250826,0.18120257509872317,0.17302072886377573,0.17598467878997326,10,10,20,0.19161117909773207
1,20,100,ort,0.0007767230272293091,0.0011518369428813457,0.0008085579611361027,0.000816227588802576,0.0008027306757867336,0.0007767230272293091,0.0007865549996495247,50,10,20,0.000968451029312707
1,20,100,npy,0.0005542243379765295,0.0006111017428338528,0.0006070449016988277,0.00058672942686826,0.0005881458055227995,0.0005495860241353512,0.0005739270709455013,50,10,20,0.0006111017428338528
100,20,100,ort,0.0025623240508139133,0.002961298916488886,0.002609716262668371,0.0026059284806251525,0.0025903754867613316,0.0025623240508139133,0.002570542972534895,50,10,20,0.002768323943668966
100,20,100,npy,0.00198581675067544,0.002175102010369301,0.0020864722318947315,0.0020557930460199715,0.002053690841421485,0.00198581675067544,0.002026079688221216,50,10,20,0.0021290725036167872
1000,20,100,ort,0.027776781003922224,0.02833683881908655,0.028067215345799923,0.027973746578209103,0.027978835394605994,0.027776781003922224,0.02788364700973034,50,10,20,0.028197913156980142
1000,20,100,npy,0.018937848042696714,0.02320370776578784,0.02274354360997677,0.02061010468751192,0.019943363033235073,0.018937848042696714,0.019192312378436327,50,10,20,0.02320370776578784
10000,20,100,ort,0.9001427022740245,0.9307181760668755,0.9104023319669068,0.9077519075712189,0.9066639747470617,0.9001427022740245,0.9020631411112845,50,10,20,0.9227400644738664
10000,20,100,npy,0.7613894031383097,0.8824951979331672,0.8593188640661538,0.8152143964543939,0.8001493085175753,0.7613894031383097,0.7867265418171883,50,10,20,0.8806919612585496
1,20,100,ort,0.0015762788243591785,0.0041663688607513905,0.0025453511625528336,0.001945410599000752,0.001652050530537963,0.0015762788243591785,0.0015997448936104774,100,10,20,0.0031963595089265287
1,20,100,npy,0.0013137795973795104,0.0013973871245980263,0.0013866210356354713,0.0013609148794785143,0.0013696469832211733,0.0013068062253296375,0.0013371240347623825,100,10,20,0.0013973871245980263
100,20,100,ort,0.006949028931558132,0.008665723726153374,0.00738502386957407,0.007326922146603465,0.007276925491169095,0.006949028931558132,0.007164009381085634,100,10,20,0.00797715411007116
100,20,100,npy,0.0038967324951158086,0.00435421708971262,0.004173471592366695,0.004093477642163635,0.004092592746019363,0.0038943071849644184,0.004004266113042831,100,10,20,0.004290222789211461
1000,20,100,ort,0.05229150895330356,0.053346931003034115,0.05278233392164111,0.052676514559425416,0.05266745015978813,0.05219123698771,0.05260979663580656,100,10,20,0.05306152016554727
1000,20,100,npy,0.03706278232857585,0.041381170973181725,0.041350260842591524,0.03927004325669259,0.038710985565558076,0.03706278232857585,0.037233103066682816,100,10,20,0.041381170973181725
10000,20,100,ort,1.7328547080194046,1.8096606177277863,1.7911845580674708,1.7709528471343219,1.7683850608300418,1.7072812831029296,1.7629888751544058,100,10,20,1.8090509862492392
10000,20,100,npy,1.0107062980532646,1.363150643184781,1.2189073213376105,1.167240820080042,1.161100355675444,1.0107062980532646,1.1338286600075662,100,10,20,1.3261242206528459
1,20,100,ort,0.0017310460098087788,0.002564205788075924,0.0019178190268576145,0.0018237186828628182,0.0017646639607846737,0.0017310460098087788,0.001739664003252983,150,10,20,0.002175934356123334
1,20,100,npy,0.001576378010213375,0.0019620112143456936,0.0017789998091757298,0.0016665986739099025,0.0016063421498984098,0.001576378010213375,0.0015913061797618866,150,10,20,0.001875945203512633
100,20,100,ort,0.008772137109190226,0.01094758603721857,0.010691578034311533,0.00934409482870251,0.009035542141646147,0.008772137109190226,0.008879929780960083,150,10,20,0.010684687519348876
100,20,100,npy,0.0055045620538294315,0.00600529694929719,0.00591221684589982,0.005649624927900732,0.005578798474743962,0.0055045620538294315,0.0055165677331388,150,10,20,0.0059677356264997835
1000,20,100,ort,0.06533107999712229,0.06751234317198396,0.06705999420955777,0.06608545479830355,0.06580712995491922,0.06533107999712229,0.06563506415113807,150,10,20,0.06724820150365818
