_model,onnxrt_time,onnxrt_std,input_size,original_time,original_std,nb_estimators,nb_onnx_nodes,_tested,onnxruntime,numpy-version,onnx-version,onnxruntime-version,stderr,ratio,ratio_nodes,CPU,CPUI
SklearnARDRegression-Dec4,5.9891798533499246e-05,0.00014309482244618014,152.0,5.8069116901606324e-05,0.00010281207126349512,1,1,True,True,1.17.4,1.6.34,1.0.991,,1.031388141048904,1.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnAdaBoostClassifierLR,0.005498845133231953,6.59056196823865e-05,912.0,0.006136113359360025,0.00011134716386082595,52,417,True,True,1.17.4,1.6.34,1.0.991,,0.8961446458357907,8.01923076923077,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnAdaBoostClassifierSAMMEDT,0.0005951835280284286,4.638163299792867e-06,512.0,0.0004499607607722282,4.714544245058882e-06,8,45,True,True,1.17.4,1.6.34,1.0.991,,1.3227454034146606,5.625,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnAdaBoostClassifierSAMMER,0.0013426509033888578,6.993697334274973e-06,512.0,0.0012749057314358652,1.1639516893325546e-05,13,97,True,True,1.17.4,1.6.34,1.0.991,,1.0531373969718485,7.461538461538462,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnAdaBoostClassifierSAMMERLogReg,0.0015487027456983927,1.0478020180706797e-05,512.0,0.0007188101825304329,8.571691033423209e-06,8,62,True,True,1.17.4,1.6.34,1.0.991,,2.15453645946762,7.75,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnAdaBoostRegressor-Dec4,0.0006982763612177222,1.1106440482104073e-05,152.0,0.0003614519648253918,4.211257213962447e-06,7,30,True,True,1.17.4,1.6.34,1.0.991,,1.9318648926283795,4.285714285714286,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnAdaBoostRegressorInt,0.0007027778301853686,1.135062344426723e-05,192.0,0.00037998042930848896,8.738284513868425e-06,7,35,True,True,1.17.4,1.6.34,1.0.991,,1.8495105957544329,5.0,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnAdaBoostRegressorLR-Dec4,0.006404517389368265,3.1974654692526065e-05,152.0,0.0022918213026132434,7.936990634762489e-06,52,63,True,True,1.17.4,1.6.34,1.0.991,,2.7945099306239674,1.2115384615384615,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnAdaBoostRegressorLReg-Dec4,0.0003585224263370037,0.00012870143480845657,152.0,0.0003375349042471498,3.1742746740655774e-06,8,30,True,True,1.17.4,1.6.34,1.0.991,,1.062178820103554,3.75,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBaggingClassifierDefaultBinary,0.0008289390022400766,1.0445616530956876e-05,912.0,0.0009801694394554943,2.0641657762152828e-05,12,29,True,True,1.17.4,1.6.34,1.0.991,,0.8457099036882547,2.4166666666666665,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBaggingClassifierDefaultMulticlass,0.00172828721255064,2.0082401091163654e-05,912.0,0.0009614779385738076,9.92375216543374e-06,12,29,True,True,1.17.4,1.6.34,1.0.991,,1.797531844687218,2.4166666666666665,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBaggingClassifierGradientBoostingBinary,0.02801608609221876,0.000282016263472483,512.0,0.0020289872558787465,1.0734979185005027e-05,23,29,True,True,1.17.4,1.6.34,1.0.991,,13.80791624543009,1.2608695652173914,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBaggingClassifierGradientBoostingMulticlass,0.1183964774014894,0.0009096259768655324,512.0,0.0032236380935646595,2.713137535266905e-05,23,29,True,True,1.17.4,1.6.34,1.0.991,,36.727595953728176,1.2608695652173914,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBaggingClassifierSGDBinary,0.0009939090218394997,0.00146940189419288,512.0,0.0009876650848891586,0.0003409005481974223,13,102,True,True,1.17.4,1.6.34,1.0.991,,1.0063219172631195,7.846153846153846,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBaggingClassifierSGDMulticlass,0.0018546934679616238,5.028805243436855e-06,512.0,0.0008373645041137934,7.80404980480045e-06,13,92,True,True,1.17.4,1.6.34,1.0.991,,2.2149177077006605,7.076923076923077,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBaggingRegressorDefault-Dec4,0.0012805435315240176,3.715039241401229e-05,152.0,0.000731996621703729,8.367809798220811e-06,12,22,True,True,1.17.4,1.6.34,1.0.991,,1.7493844828730774,1.8333333333333333,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
SklearnBaggingRegressorGradientBoosting-Dec4,0.03654890787322074,0.00025020636905176327,152.0,0.0013338184980675578,1.995100459971068e-05,23,22,True,True,1.17.4,1.6.34,1.0.991,,27.401710147349853,0.9565217391304348,,Intel(R) Xeon(R) CPU E3-1220 V2 @ 3.10GHz
