n_obs,nfeat,max_depth,method,time_skl,time_ort
100,50,2,predict_proba,0.00011025000000003615,3.904099999999744e-05
1000,50,2,predict,6.054500000004736e-05,6.683499999994069e-05
1000,50,2,predict_proba,8.709199999998418e-05,5.379099999998971e-05
10000,50,2,predict,0.0003295669999999973,0.00015348099999997088
10000,50,2,predict_proba,0.000463986000000034,0.00015439999999998123
100000,50,2,predict,0.003079175000000021,0.0012162329999999598
100000,50,2,predict_proba,0.004456789000000043,0.0011852149999999994
1,50,5,predict,5.872600000003558e-05,1.4813000000089005e-05
1,50,5,predict_proba,4.4576999999890174e-05,1.4206999999970548e-05
10,50,5,predict,3.270499999999288e-05,1.438100000001441e-05
10,50,5,predict_proba,4.3050000000022236e-05,1.3481000000012955e-05
100,50,5,predict,3.3638000000024705e-05,3.938900000008516e-05
100,50,5,predict_proba,0.00010442100000005894,3.3061000000031985e-05
1000,50,5,predict,8.521599999994578e-05,5.025200000005725e-05
1000,50,5,predict_proba,9.299699999999689e-05,6.249999999994316e-05
10000,50,5,predict,0.00033354700000003845,0.0002598340000000121
10000,50,5,predict_proba,0.0004749970000000303,0.00015990400000006843
100000,50,5,predict,0.003421268999999967,0.0012949469999999508
100000,50,5,predict_proba,0.004856390000000061,0.0012781280000000094
1,50,10,predict,7.122499999979936e-05,2.0797000000243316e-05
1,50,10,predict_proba,5.80200000001696e-05,1.5009999999904267e-05
10,50,10,predict,4.507500000016762e-05,1.7364999999927024e-05
10,50,10,predict_proba,5.4824999999993906e-05,1.7115999999930408e-05
100,50,10,predict,4.9149000000170416e-05,4.7524000000009894e-05
100,50,10,predict_proba,0.00011313199999989365,3.502000000025873e-05
1000,50,10,predict,0.00011013199999979406,5.315400000000636e-05
1000,50,10,predict_proba,0.00011450100000018893,4.933999999991556e-05
10000,50,10,predict,0.0005958129999999074,0.00018605900000011387
10000,50,10,predict_proba,0.0007425489999999968,0.00018341199999980518
100000,50,10,predict,0.0057862629999999625,0.0015228720000001771
100000,50,10,predict_proba,0.007059107999999981,0.0015310449999998354
1,50,20,predict,6.185200000004443e-05,1.6514000000142913e-05
1,50,20,predict_proba,4.700500000012653e-05,2.4682000000098014e-05
10,50,20,predict,4.2224999999973535e-05,1.9561000000010152e-05
10,50,20,predict_proba,4.987300000010464e-05,1.8072999999958483e-05
100,50,20,predict,5.4331000000047426e-05,4.8385999999993604e-05
100,50,20,predict_proba,0.00013584399999984952,3.8148999999805254e-05
1000,50,20,predict,0.0001706279999999083,8.538599999980079e-05
1000,50,20,predict_proba,0.00019198299999999334,8.6267999999734e-05
10000,50,20,predict,0.0013818849999998406,0.0002804130000001237
10000,50,20,predict_proba,0.001472985000000051,0.00033850799999981976
100000,50,20,predict,0.013600699999999721,0.0027772324324325374
100000,50,20,predict_proba,0.014825738235294369,0.002499860294117816
1,100,2,predict,6.133400000010169e-05,1.6361999999787713e-05
1,100,2,predict_proba,4.772000000002663e-05,1.4772000000107255e-05
10,100,2,predict,3.4315999999989796e-05,1.5008000000023003e-05
10,100,2,predict_proba,4.6236999999962335e-05,1.4572000000043772e-05
100,100,2,predict,3.6341999999933706e-05,3.8786000000072815e-05
100,100,2,predict_proba,0.00010383899999993673,3.407999999978983e-05
1000,100,2,predict,7.90179999998486e-05,7.139599999987923e-05
1000,100,2,predict_proba,9.679299999987734e-05,8.05800000000545e-05
10000,100,2,predict,0.0003695600000000354,0.0002566019999997593
10000,100,2,predict_proba,0.0005143240000001015,0.0002479280000000017
100000,100,2,predict,0.005297419000000048,0.002545007999999882
100000,100,2,predict_proba,0.005422748999999953,0.002706823999999983
1,100,5,predict,7.898500000010245e-05,1.5185000000030869e-05
1,100,5,predict_proba,4.473200000006727e-05,1.4572999999984404e-05
10,100,5,predict,3.3588000000008834e-05,1.4930000000106248e-05
10,100,5,predict_proba,4.4666000000006535e-05,1.4439999999922292e-05
100,100,5,predict,3.6517000000060305e-05,3.85539999999196e-05
100,100,5,predict_proba,0.0001126869999998803,3.568300000011959e-05
1000,100,5,predict,0.00010085000000003674,8.126599999997097e-05
1000,100,5,predict_proba,0.00010866699999979801,7.178699999997206e-05
10000,100,5,predict,0.0004533349999999814,0.00023140799999993078
10000,100,5,predict_proba,0.0006811670000001868,0.000231662000000199
100000,100,5,predict,0.004776956999999982,0.0021509000000000354
100000,100,5,predict_proba,0.006307938000000206,0.002098376000000144
1,100,10,predict,8.950800000036452e-05,1.9616999999811924e-05
1,100,10,predict_proba,5.1588000000037935e-05,1.6668999999751578e-05
10,100,10,predict,4.7197000000096523e-05,2.270399999986239e-05
10,100,10,predict_proba,5.004799999994702e-05,1.474500000028911e-05
100,100,10,predict,4.0081999999870275e-05,3.7166000000183884e-05
100,100,10,predict_proba,0.00012111000000004423,4.14389999997411e-05
1000,100,10,predict,0.00010253900000009253,5.817700000022796e-05
1000,100,10,predict_proba,0.00012148400000000948,5.734399999994366e-05
10000,100,10,predict,0.0006318989999999758,0.0002914149999998017
10000,100,10,predict_proba,0.0008655979999997498,0.00038806599999986703
100000,100,10,predict,0.006101209000000267,0.002349541999999474
100000,100,10,predict_proba,0.0073447349999997864,0.0021223220000001677
1,100,20,predict,8.896600000014133e-05,1.67340000001559e-05
1,100,20,predict_proba,5.386000000044078e-05,1.7281000000366477e-05
10,100,20,predict,4.0266999999971634e-05,1.760699999977078e-05
10,100,20,predict_proba,5.639700000017456e-05,1.711299999954008e-05
100,100,20,predict,5.4044000000317285e-05,4.545800000016698e-05
100,100,20,predict_proba,0.00014026300000011816,3.839799999980187e-05
1000,100,20,predict,0.00016007699999988744,9.264699999960158e-05
1000,100,20,predict_proba,0.00018732300000010583,9.036299999991115e-05
10000,100,20,predict,0.001285621999999762,0.0003012189999998327
10000,100,20,predict_proba,0.0014553629999994656,0.0004100479999999607
100000,100,20,predict,0.01292579487179433,0.0028449884615385237
100000,100,20,predict_proba,0.014943158208954777,0.0029538641791047138
1,200,2,predict,8.154500000046028e-05,2.137399999980971e-05
1,200,2,predict_proba,4.556799999988925e-05,1.429200000018227e-05
10,200,2,predict,3.3975000000054934e-05,1.5369999999848005e-05
10,200,2,predict_proba,4.555100000004586e-05,1.481800000021849e-05
100,200,2,predict,3.7247000000206755e-05,4.031899999972666e-05
100,200,2,predict_proba,0.00010917000000006283,4.517200000009325e-05
1000,200,2,predict,8.905400000003283e-05,7.947000000001481e-05
1000,200,2,predict_proba,0.00011231999999949949,6.55100000000175e-05
10000,200,2,predict,0.0005063899999998967,0.00032165699999950445
10000,200,2,predict_proba,0.0006553129999997509,0.00030807199999969724
100000,200,2,predict,0.005932814999999892,0.003135530999999787
100000,200,2,predict_proba,0.007221077999999465,0.0038548249999996644
1,200,5,predict,0.00011968799999976909,1.8782000000214795e-05
1,200,5,predict_proba,4.470200000014301e-05,1.4074000000050545e-05
10,200,5,predict,3.338700000028894e-05,1.4832999999612184e-05
10,200,5,predict_proba,4.612999999949352e-05,1.4790000000175496e-05
100,200,5,predict,3.905700000018442e-05,5.036399999994501e-05
100,200,5,predict_proba,0.00012225199999988946,3.874499999994896e-05
1000,200,5,predict,0.0001132260000002816,7.761800000025688e-05
1000,200,5,predict_proba,0.00014030300000001717,7.33869999999115e-05
10000,200,5,predict,0.000727067000000261,0.00040328299999998763
10000,200,5,predict_proba,0.0008581890000004933,0.00038950499999998553
100000,200,5,predict,0.007518135999999913,0.00368200800000011
100000,200,5,predict_proba,0.00891647599999999,0.0036639859999996814
1,200,10,predict,0.00012280899999950635,1.525300000025709e-05
1,200,10,predict_proba,4.697799999973995e-05,1.5027999999688291e-05
10,200,10,predict,3.527700000006462e-05,1.6899999999964165e-05
10,200,10,predict_proba,4.8418999999739756e-05,1.6196999999920082e-05
100,200,10,predict,4.983299999992141e-05,4.675399999996444e-05
100,200,10,predict_proba,0.00012826000000018211,3.940399999976307e-05
1000,200,10,predict,0.00015471800000000258,7.918799999970361e-05
1000,200,10,predict_proba,0.00017635000000041146,0.00011095399999987875
10000,200,10,predict,0.0011429320000002007,0.0004369509999997945
10000,200,10,predict_proba,0.0012376919999996972,0.0006125099999997019
100000,200,10,predict,0.01115684222222247,0.004515837777777657
100000,200,10,predict_proba,0.01240330000000063,0.005015845679012003
1,200,20,predict,0.00012446199999999408,1.5883999999459775e-05
1,200,20,predict_proba,4.48930000004566e-05,1.4639000000897796e-05
10,200,20,predict,3.621100000032129e-05,1.7310999999153866e-05
10,200,20,predict_proba,4.797700000040095e-05,1.7014000000017405e-05
100,200,20,predict,5.4288999999698715e-05,4.9339999999347126e-05
100,200,20,predict_proba,0.000153119000000288,4.348499999991873e-05
1000,200,20,predict,0.00024022100000024694,0.00012817100000006576
1000,200,20,predict_proba,0.0002767869999991035,9.866200000033132e-05
10000,200,20,predict,0.001914703999999574,0.0004913099999998849
10000,200,20,predict_proba,0.0019976039999994553,0.0004821289999995315
100000,200,20,predict,0.019417182692306002,0.004764671153846114
100000,200,20,predict_proba,0.019835794117645546,0.0046302235294108105
